[00:00] 好我们继续讲生成式软件工程
[28:12] 比赛
[28:12] 你可以看一下这个label print就是一个
[28:19] 我都完全没管
[28:21] 这些都是都是AI自己啊自己生成的
[28:25] 他自己probe了这个
[28:27] 打印机的参数
[28:28] 和我现在当前插入的这个这个标签
[28:31] 完全是定制化的
[28:33] 也是说我想要什么
[28:34] 以我最舒适的方式来帮我定制
[28:37] 不要通用
[28:39] 因为以后生产软件
[28:40] 生产intelligence的成本会非常非常的低
[28:49] 好那当然这是未来会发生的事情
[28:52] 你们已经生在这个时代了
[28:53] 就已经生在软件死掉了的时代了
[28:55] 那为什么我们还要讲软件工程
[28:59] 因为曾经的软件工程不是这样的
[29:02] 你们透过软件工程的历史
[29:04] 就虽然今天确实是就你们我下一个实验
[29:09] 我现在还没有布置
[29:09] 我下一个实验就会要求大家
[29:12] 把你们的第一个实验的那个assistant
[29:15] 和一个physical device联系起来
[29:17] 就让它能够驱动一个任何一个你的
[29:20] 可能是你的手表
[29:22] 也可以是一个你
[29:23] 你就你宿舍里面任何一个已有的东西
[29:25] 也许是一个你就想买一个
[29:27] 花几200块钱买一个什么什么小设备
[29:30] 然后那个设备就也是非标的
[29:32] 他可能也没有Linux驱动
[29:33] 但是你就想把它搞起来
[29:37] 比如说我的办公室里面有一个电子墨水屏
[29:42] 然后电子那个电子墨水屏
[29:45] 他也是一个Android的app烧写
[29:47] 然后那个app极度难用
[29:49] 当然我可以用豆包手机的方式来用
[29:50] computer use的方式来用它
[29:52] 然后我当时干了另一件事
[29:54] 我用Claude Opus 4.6
[29:57] 直接把那个Android app的APK丢进去
[30:00] 然后让他解包
[30:02] 让它逆向那个蓝牙的协议
[30:04] 就是就因为它是还是个标准蓝牙设备
[30:06] 然后然后知道这个它是怎么就根据代码
[30:09] 怎么写到这个
[30:11] 怎么把这个屏写进去
[30:13] 然后我也得到了一个一样的这个这个这个东西
[30:16] 你们可以可以借助一下现在手头的啊模型
[30:19] 来做这样事
[30:21] 虽然今天我们已经生在这个时代了
[30:23] 但是软件软件工程的智慧
[30:26] 其实是没有还是没有没有消失的
[30:28] 所以所以从今天开始
[30:29] 我会讲一讲这些你看到的世界上
[30:32] 你看到这些软件它到底是怎么来的
[30:35] 我们在软件构造的历史当中
[30:37] 大家发明了什么
[30:38] 然后用这些理念可以更好的指导你
[30:41] 今天和agent的协作
[30:43] 成为一个更好的agent
[30:44] native的
[30:46] 软件开发者对
[30:47] 所以所以今天我来讲软件工程
[30:51] 首先软件工程是怎么诞生的
[30:54] 在软件还是一个新事物的年代
[30:56] 比如说我们回到1960年
[30:58] 虽然1960 年有点太早了
[30:59] 1960年的时候
[31:00] 硬件比码农要贵得多
[31:02] 他一个一个计算机就要占一个很大的房间
[31:06] 虽然不至于一层楼楼那么高
[31:07] 但是一个计算机确实会非常大
[31:10] 而且作为这个最先进的设备
[31:11] 它的制造成本也是很也是很高的
[31:13] 尤其尤其现在这个厂家都懂得
[31:16] 怎么样偷工减料
[31:18] 最新的消息是这个iPhone 18 Pro采用了QLC的闪存
[31:23] 颗粒
[31:24] 好像也没有关系
[31:25] 因为iPhone他的主张是你
[31:27] 你应该把所有东西都存在iCloud上
[31:30] 所以所以你的你的数据坏了
[31:32] 它也就也就这样
[31:34] 他不会不对你的数据负责
[31:36] 可能在保修期内那个闪存坏了
[31:38] 他就再给你换一个
[31:39] 换一个主板
[31:40] 但是你是应该把重要的数据放到iCloud上
[31:44] 1960年的时候
[31:46] 大家还不知道怎么造计算机的时候
[31:48] 是不敢偷工减料的
[31:49] 就像你刚开始造建筑的时候都是要猛堆料的
[31:54] 所以成本成本非常高
[31:56] 那码农当然也是很贵的
[31:57] 因为越早这个编程的工具越不成熟
[31:59] 这个码农是一个非常高智力需求的工种
[32:03] 就更像一直到那个Silicon Valley
[32:05] 那个电视剧里面都仍然是
[32:08] 仍然是这样的
[32:10] 我们看到今天看到了一些
[32:11] 可能你们现在没有了一些以前
[32:14] 比如说以前写汇编
[32:15] 写机器代码的时候
[32:16] 大家的要求
[32:17] 比如说要画流程图
[32:18] 你们你们现在肯定不画流程图了
[32:20] 因为因为那个时候你写的是机器代码
[32:23] 你如果不画一个流程图
[32:25] 你直接写机器代码
[32:26] 就跟今天大模型直接写汇编一样的
[32:28] 你看这大模型大模你可以做到
[32:30] 就直接二进制序列写汇编羊
[32:32] 但你做不到
[32:33] 你需要
[32:34] 你需要过度的预训练
[32:36] 才能才能才能做到这一点
[32:38] 同时不仅码农是一个很贵的东西
[32:42] 而且各位这个在985大学
[32:49] 认为是经历了层层筛选的高智商人群
[32:53] 那么你们多多少少你数学训练训练多了以后
[32:58] 都会缺少对客户的同理心
[33:00] 对商业的理解等这样的软技能
[33:02] 多多少少会有一点不是说这个
[33:05] 大家就没有
[33:06] 其实我见过很多
[33:07] 这个在各方面都很强的六边形战士
[33:09] 但我的观察是在理工科专业里面
[33:12] 更多这种nerdy的人会多多多一些
[33:14] 他们可能不care业务
[33:15] 他只想要造世界上最好的操作系统
[33:18] Linux那样的那样那样的人
[33:20] 他就不是一个很好的这个客户经理
[33:24] 但是软件企业依然需要承担这个把implementation
[33:32] spec和intent之间的gap给补上的这样的一个职责
[33:36] 这是公司
[33:36] 他作为一个公司
[33:37] 他需要签订合同
[33:39] 说我希望这个1000万美元
[33:41] 给你开发一个操作系统
[33:43] 这个这天文数字在今天看
[33:46] AI说我给你50 美元
[33:47] 我也可以给你开发一个操作系统
[33:49] 呵呵今天不是星期四
[33:51] 客户就是软件企业面对的客户
[33:55] 那个时候客户也不知道计算机能做什么
[34:00] 比如说DARPA 的官员
[34:01] 当然那个时候比如说NASA
[34:03] 可能他们工程师还会有一些有一些概念
[34:05] 他们要把人类送上月球
[34:07] 他面对的都是这样的需求
[34:09] 或者飞机上面要做一个飞控系统
[34:11] 那他们的客户可能也不完全知道
[34:14] 他们想要什么
[34:17] 然后程序员还是一个非常年轻的职业
[34:21] 这个Dijkstra1957年在登记结婚的时候
[34:23] 要登记职业
[34:24] 然后这个程序员不被承认为是一个职业
[34:28] 最后还登记成了这个理理论物理物理学家
[34:33] 就在那个时候
[34:34] 那个时候
[34:37] 客户已经对计算机或者说软件产生了
[34:41] 非常过度的遐想
[34:43] 然后这个是一个来自1968年杂志
[34:45] 我特意但这个这你可以看一下
[34:48] 在这
[34:52] 所以AI还是就是我的
[34:56] 我的slides是AI PPT生成的
[34:58] 我这里有一个有一个两个中括号
[35:01] 然后这个中括号就代表了
[35:03] 这里面的话是我教给AI的
[35:05] 然后AI看到了
[35:06] 他就会把它就这就上面是我写的
[35:09] 就是上面这些是我自己写的
[35:10] 你看他基本上是verbatim copy的
[35:12] 这可能会修复一下我的typo
[35:14] 然后像这些就是他自己发挥我
[35:17] 我有我的那个make slides 的 skill
[35:19] 自自己发挥
[35:20] 然后他就找到了这个
[35:22] Boys' Life tomorrow school
[35:23] 那时候大众就其实已经对计算机开始了
[35:26] 各种各样的想象
[35:28] 人是怎么样
[35:29] 这个终端及时判分
[35:31] 针对薄弱环节辅导
[35:33] 让学生按自己的节节奏学习
[35:35] 到今天都没有实现
[35:37] 你们还在这里上两节课
[35:39] 每节每节课50分钟的这个这个课程
[35:42] 1968年的时候
[35:44] 你看Boys' Life 9 月号就已经唱响了这件事情了
[35:49] 所以这个gap就越来越大了
[35:51] 在那个时候的可能一个客户
[35:55] 他想软件公司给他画了个大饼
[35:58] 然后这个客户说我要投1000万美元
[36:00] 做一个什么跨时代的软件系统
[36:02] 但他脑子里面是这样的东西
[36:04] 然后你回到1968年的时候
[36:07] 程序员脑子里是什么
[36:08] 脑子里就是汇编
[36:10] go to
[36:12] 那这个gap就毫无疑问是非常非常大的
[36:18] 然后你就是因为有这个这个gap
[36:21] 我们的软件是要实现物理世界需求
[36:24] 在信息世界里面的
[36:26] 投影使得软件工程和其他的
[36:28] 比如说像桥梁工程
[36:30] 这个炼钢这样的工程有很大的区别
[36:33] 他们的需求就是因为自然物理世界
[36:36] 我们只能适应
[36:37] 我们不能改造
[36:39] 就他的物理结构
[36:41] 这个材料的强度有多少
[36:43] 那在它出厂的时候就已经确定了
[36:45] 然后这个楼要盖起来
[36:47] 它要盖几层
[36:48] 要容纳多少人
[36:49] 人有多大
[36:51] 这都是由这个自然界选择下来的
[36:53] 结果已经决定了的事情
[36:56] 那我们只能按照自然规律
[36:58] 那桥就应该做成这样
[36:59] 一代一代一代一代迭代
[37:01] 所以所以他们是遵循比较强的模式
[37:04] 然后做一些小小改进
[37:06] 不断的往上创新
[37:07] 往上创新
[37:07] 往上创新
[37:07] 一个一个这个彻底推导的一个大的改进和创新
[37:11] 对他们来说是非常困难的
[37:12] 是一直都是比较比较incremental的
[37:15] 但软件不一样
[37:16] 软件的需求完全是拍脑袋想出来的
[37:18] 你看1968年的时候
[37:19] 他就可以想出这个东西来
[37:20] 那需求因为是高度定制化的
[37:23] 所以把它投影到计算机世界
[37:26] 也是一个一直以来都认为
[37:28] 是高度需要人类智慧的活动
[37:31] 我们一直说软件是人类智慧的巅峰
[37:35] 也确实是一个事实吧
[37:36] 你看像这个操作系统
[37:38] 编译器这些非常难的软件
[37:42] 你去学它都需要
[37:44] 确实需要这个多年的这个专业
[37:47] 专业积累它很复杂
[37:49] 然后复杂
[37:52] 以至于甚至你的制定就是想
[37:57] intent的人都没有想好
[37:59] 这个各种各样的corner case应该怎么样
[38:02] 比如说他就想做一个选课系统
[38:05] 那选课系统到底应该是先得先到先得
[38:08] 还是抽签
[38:09] 还是按专业保留
[38:10] 这都是AI给我YY出来的
[38:12] 不满足先修课要求的时候
[38:14] 老师能不能特批
[38:17] 这种都很容易在需求
[38:18] 就你在做需求的时候
[38:21] 我领导说跟软件公司说好
[38:24] 我们的这个课程是要有先修课程的
[38:28] 那也是知道的
[38:28] 你们在系统里面都能看到
[38:30] 比如说你要选修操作系统
[38:31] 你必须要先修计算机系统
[38:32] 基础好
[38:34] 那就糟糕了
[38:35] 这是一个硬的限制
[38:37] 还是一个软的限制
[38:38] 谁能override
[38:40] 最后你到最后一秒钟毕不了业的时候
[38:42] 所有的口子学校都能给你开
[38:44] 你最后就差这门课的时候
[38:46] 这个你马上就能选上这门课
[38:48] 那这就是一个例外性的需求
[38:51] 所以软件的需求是一个高度定制化
[38:53] 非常复杂的链接了
[38:55] 连接了物理社会人的偏好等的东西
[38:58] 所以做软件很难做软件
[39:01] 在那个时候就大家就发现了
[39:03] 进度成本质量是一起失控的
[39:05] 开发进度不能预测软件开发成本崩溃
[39:07] 而且要延期
[39:09] 延期交付
[39:10] 然后那个时候其实computer scientist已经观察到了
[39:13] 各种各样软件里面有趣的东西
[39:15] 比如说啊这个Dijkstra的图灵奖的Dijkstra
[39:19] 也是
[39:21] 非常有意思
[39:22] 叫go to statement
[39:24] considered harmful
[39:32] 我们今天不需要这个在
[39:36] 就这样吧
[39:37] 让他
[39:38] 让他读一下
[39:39] 但anyway
[39:40] 这个
[39:43] 大家都听说过go to是harmful
[39:45] 但你们同时也看到这个Linux内核里面有好多
[39:48] go to
[39:49] 这是C的一个为数不多的一个比较
[39:52] idiomatic的用法就是你最后有go to release
[39:55] 然后在release的时候
[39:56] 你会逐个检查你在函数里面申请的所有的资源
[39:59] 然后一一释放
[40:00] 这样他就可以保证保证你就你在任何时候
[40:04] 你在中间要申请一个资源的时候
[40:06] 你都在release的地方加一个释放检查和释放
[40:10] 然后你在写代码的时候
[40:12] 你永远不能在中途退出
[40:15] 在中途想要退出的时候
[40:17] 必须go to release
[40:18] 那这个程序就能基本上就能就能正确了
[40:21] 呵他有一个非常就跟我说的
[40:26] 没有token要退学一样
[40:27] 他先发表一个暴论
[40:28] 对他说
[40:29] 程程序员的水平随着go to的密度上升而下降
[40:34] 它其实背后是有一定的道理的
[40:37] 它不绝
[40:40] 然后肯定台还各各种告诉你应该怎么样用
[40:42] 用goto诶
[40:45] 这就
[40:49] 这就go to statement considered harmful
[40:52] 这个这个大家在学编程的时候都学过
[40:55] 因为大量的goto会让你的程序变得很难理解
[40:58] 所以他讨论的其实不是go to
[41:00] 到底harmful不harmful
[41:02] go to可以不harmful
[41:03] 如果作为一个正确的机制使用的话
[41:06] 只允许你这样用
[41:07] go to它就不 harmful
[41:08] 它挺好的
[41:09] 它解决了C语言里面一个很大的
[41:12] 你随时申请从不释放的问题
[41:14] 你们在做OJ的时候留下的坏习惯
[41:18] 那他背后考虑的是这样的一个
[41:20] 一个希希望你能够写出人能读的代码
[41:26] 那只有你人能读
[41:27] 它才有可能能够维护的下去
[41:29] 从而OK让这个世界还能够正常的
[41:35] 软件世界能够相对来说正常一点的
[41:38] 去运转OK
[41:41] 然后在1972年的时候也
[41:54] 有他的这个Turing Lecture
[41:57] 就是他得图灵奖以后的这个演讲
[42:03] 叫The Humble Programmer
[42:05] 然后我觉得这就现在很好
[42:07] 我们可以直接去消这个digest原始的文稿
[42:13] 我们可以在AI的帮助下直接去阅读
[42:20] 原始的文稿
[42:22] 你看他就谈到了这个为什么会有软件危机
[42:27] 如果你永远写这个online judge的小程序
[42:31] 就不会有软件危机的
[42:32] 你就算一个东西
[42:34] 算完就完了
[42:35] 你一旦把这个程序调对
[42:36] 你就永远不需要去维护它
[42:41] 但是机器变强以后
[42:43] 你的软件的需求是不断的膨胀的
[42:46] 然后你要承担越来越多
[42:47] 就你机器越强
[42:49] 你承担这个现实世界的intent越多
[42:51] 然后intent越多
[42:52] 这个不确定性就越多
[42:53] 然后实现就会变得越复杂
[42:55] 然后越来越复杂以后
[42:56] 这个
[42:58] 应该
[43:00] 应该怎么样
[43:02] 然后他提了一些这个他对软件的思考
[43:05] nicely factored solutions
[43:07] 然后就这样的想法
[43:09] 在你构造任何软件系统的时候
[43:12] 都在不断的发现
[43:14] 就比如说你看我就写一个这个live mate
[43:19] 帮我驱动我的标签
[43:21] 打印机和扫描仪
[43:22] 它也是一个nicely factor的solution
[43:25] 一个良好的分解
[43:26] 我们无时无刻都在用这样的这个想法
[43:30] 来组织啊我们的软件
[43:35] 然后他还有一些有意思的这个观点
[43:38] 保守力量主要来自教育机构与
[43:40] 舍不得重写旧程序序的用户对
[43:44] 这都是放到今天
[43:45] 依然是你
[43:46] 你觉得能够啊觉得醍醐灌顶的这个
[43:50] 确实Dijkstra那个时候1972年执一个
[43:53] 只一个图灵奖对
[43:54] 然后在那个时候其实就大概就在那个时期
[43:57] 软件工程就会就成为了大家关注的一个焦点
[44:00] 因为软件开始开始失败了
[44:02] 所以在1968年的时候
[44:04] 有一个NATO软件工程的会议
[44:06] 你们也可以去直接去读这个
[44:08] 原原summary
[44:09] 我就我就不读了
[44:10] 我就我就开一个开这个
[44:13] 让他再在后台后后台跑起来
[44:18] 然后也他们差不多在那个时候
[44:20] 这个Hamilton和他的团队
[44:24] 提出了软件工程这样的啊概念
[44:28] 这个帖子我觉得大家也可以读一下
[44:31] 这是一个非常有标志性的照片
[44:32] 在诶
[44:39] 应该是载入载入史册的
[44:42] 照片
[44:43] Vista polo code
[44:44] 1969
[44:45] 这个Apollo的
[44:48] 代码uh sorry
[44:56] 然后我们也可以
[45:02] 让他来读一下
[45:03] 这个可能要读一下
[45:04] 这个代表了软件工程学科的啊诞生
[45:11] 2019年8月
[45:13] 经过不懈的排查错误
[45:15] 这位最初的软件工程师把宇航员啊送上了月球
[45:19] 然后他有一个这个他的传记
[45:25] 然后这个软件工程
[45:28] 你们看到今天你们都要防御性编程
[45:30] 你们在第一节
[45:31] 比如说学SICP的时候
[45:32] 他就告诉你写软件的时候
[45:33] 你要写他的assertions
[45:35] 写specifications
[45:39] 他把一个绝对不能发生的假设都当成可能
[45:43] 一种防御性的为未来思考的这样的一个智慧
[45:47] 他假设这个软件在在在任何时候
[45:49] 他都要甚至违背违反假设
[45:52] 说这个软件依然要能够能够工作这个
[46:00] 他才设计了一个成功的成功的软件
[46:05] 那我们也可以让他这个
[46:11] 啧
[46:13] 如当然我不确定他会不会做web search
[46:16] 就DeepSeek有没有没有足够的知识
[46:18] 如果是一个足够大的模型的话
[46:21] 他可以去做
[46:22] 他可能去做web search
[46:23] 它可能在在这里
[46:25] 就有对
[46:28] The never going to happen
[46:30] Can happen
[46:31] 我觉得这就是你看软件工程
[46:33] 当当我们回头去看这个原作的时候
[46:38] 你发现这些思想在今天反而更容易理解
[46:41] 比这个教科书上面经过了好多层的这个一手
[46:45] 二手三手四手消化的
[46:47] 时候要这个
[46:50] 要好得多
[46:52] 然后他比如说你可能要假设
[46:54] 这个硬件也是不可靠的
[46:58] 然后
[46:59] 我无论如何
[47:00] 都要在这个软件里面做一个兜底的机制
[47:03] 当你的程序crash了以后
[47:05] 这个整个系统依然要啊能够工作
[47:08] 其实这就是软件工程的起点对
[47:11] 所以你看这里有一个能工作
[47:13] 还包括发生意外的时候就有一个
[47:17] 登月阿波罗11登月下降的时候发生警报
[47:21] 然后但是这个软件因为有这个优先级和和recovery
[47:25] 让关键的下下降控制任务得以继续
[47:27] 就那个时候还没有软件工程的时候
[47:29] 他们就从first principle去思考
[47:32] 如果
[47:33] 如果我们这个时候要构造一个真正好的
[47:36] 高质量的软件
[47:37] 我们应该应该怎么做
[47:39] 它的the first principle就是这个never going to happen
[47:43] can happen
[47:44] 好有意思
[47:47] 软件软软件的工程
[47:49] 然后这就这然后在这个意义下
[47:51] 这个软件工程就诞生了
[47:52] 就在那个差不多那个时间点
[47:54] 因为在时成本时间
[47:57] 各种各样团队的约束下
[47:59] 交付软件
[48:00] 在那个时候已经成为了一个很大的挑战
[48:03] 那怎么样做这件事
[48:04] 就是软件工程
[48:07] 在成本时间约束下
[48:08] 把人的意图
[48:09] 人的意图
[48:10] 你想要设计你要做的产品或者是客户的要求
[48:13] 变成一个可以工作的
[48:15] 可以维护的
[48:16] 可以生存的
[48:18] 你随着时间的推演的需求可能会变化
[48:21] 这个never going to happen
[48:23] 有点这个感觉吗
[48:24] 你们你们做OJ的时候
[48:26] 你假设题目是对的
[48:30] 这是一个隐藏的假设
[48:31] 你假设题目是对的
[48:32] 假设题目是能做出来的
[48:33] 这个本身假设就是不对的
[48:35] 就当你反复强化的时候
[48:37] 你overfit这个假设的
[48:39] 你应该假设的是
[48:40] 你面对的是一个开放的世界
[48:41] 这个题目可能是错的
[48:43] 这个题目的条件随时可能会变化
[48:45] 这个题目甚至可能会变成另外一个题目
[48:48] 那你怎么做一个软件来解决它
[48:52] 当然编程是一件事
[48:54] 你通过训练这个online judge
[48:55] 训练的是你的逻辑思维
[48:56] 算法思维
[48:57] 这个你的chain of thought能力
[48:59] 当然对于设计软件理解
[49:00] 比如说理解这些东西是有是有好处的
[49:04] 所以你看到这个
[49:05] IEEE
[49:06] 他说是把工程
[49:08] A systematic discipline quantifiable
[49:11] Approach to the development operation and maintenance of software
[49:14] That is application of engineering
[49:16] 工程化
[49:17] 它把它把软件变成一个你
[49:19] 你不再是一个个人英雄主义
[49:22] 那个时候Hamilton的那个时代
[49:23] 他需要一个好的leader
[49:25] 就如换一个人
[49:26] 这个项目就失败了
[49:28] 变成可以拿到一个checklist
[49:30] 这个checklist
[49:31] 如果你123456789十全部都满足了
[49:34] 那你至少这个软件可能不能保证你的软件成功
[49:37] 但是失败的概率会小很多
[49:41] 有纪律可量化覆盖整个软件的整个生命周期
[49:46] 对所以在AI还没有大杀四方的时代
[49:50] 软件工程这个学科
[49:52] 从刚开始的大量的失败
[49:54] 或者说是从数亿美金的教训得到的
[49:59] 什么炸一个火箭这种
[50:00] 很多时候都是可能是跟软件工程有关系的
[50:03] 既其实积累了很多的智慧
[50:06] 大家看到成成功
[50:08] 看到失败
[50:08] 多多少少就会从中总结出一些经验和和教训
[50:12] 然后当然如果我们回到这个pre-AI时代
[50:14] 大家其实也非常清楚这个intent spec implementation
[50:18] 这样的这样的gap
[50:20] 如果你接到一个开发任务
[50:22] 你肯定不能立即按照去安排说哎
[50:24] 大家去干吧
[50:26] 任何一个leader都不应该干这样的事儿
[50:29] 即便最终的产物一定是码农
[50:33] 写出来的
[50:33] 因为不同的人他看到的是不一样的部分
[50:36] 甚至如果这个软件要分分开的话
[50:40] 你的leader都需要指派哪一个部分
[50:43] 由哪一个人来人来做
[50:45] 就像我做这两个的时候
[50:46] 打印机和扫描仪
[50:47] 那个时候我已经同时接到我的电脑上了
[50:50] 那我就是起了两个agent
[50:53] 开了两个窗口
[50:53] 一个取景像打印机
[50:54] 一个取景像扫描仪
[50:56] 这很这很这很正常
[50:58] 需要一个划分任务的这样的过程
[51:01] 不能是一个self self organized
[51:04] 那如果我们涉及到划分任务
[51:07] 也就是说刚开始我们从一个
[51:10] 空的repo的时候
[51:11] 空的 repo的时候
[51:12] 那我们怎么样去做
[51:16] 是直接去开发
[51:17] 就直接把这个一句话交给他做MVP
[51:19] 那个时候还没有这个minimum
[51:21] 你想1970年
[51:22] 这是1970年的论文
[51:24] 1970年的时候
[51:25] 软件工程这个刚刚诞生
[51:27] 还没有minimum
[51:30] Viable product
[51:30] 没有大语言模型
[51:32] 那一个思考怎么按时不超预算的交付大型软件
[51:37] 那就有一个软件工程领域的开山之作
[51:40] 这个Winston Royce的Managing the development of large software systems
[51:45] 然后今天你们
[51:46] 有些同学可能学过这个软件工程
[51:49] 这门这门课
[51:50] 然后你们可能学过哎
[51:52] 我可以开个浏览器
[51:56] 应该多多少少一定是我们搜索百度诶
[52:04] 诶好
[52:08] 搜索一个瀑布模型
[52:11] 我觉得大家如果学过任何学过一点软件工程
[52:17] 我就我就不打开秒懂百科了
[52:19] 这个有点搞笑
[52:21] 放大一些
[52:23] 都有一个这样的
[52:25] 就你们见过很多时候见过这样的
[52:30] 见过这样的图
[52:31] 大概长这样
[52:32] 图一个waterfall model
[52:34] 从上从上到下
[52:35] 你们只要是computer science或者software相关的
[52:39] 你们一定在软件工程课上面见过
[52:43] 见过这样的图
[52:44] 然后这个图来自哪里
[52:46] 这个图就来自这个
[52:48] Winston Royce的这一篇经典的文章
[52:51] 当然你看我
[52:52] 我读文章的方式
[52:53] 和你们读文章的方式有些不一样
[52:55] 这个是我昨天在备课的时候
[52:59] 我需要这篇文章
[53:00] 我就直接找到了这篇文章的链接
[53:02] 然后直接和我的agent说入库这个paper
[53:06] 然后你我就得到了这个
[53:08] 这是一个文字文字整理版的
[53:11] 我记得我给大家可能展示过一次
[53:13] 啊read space
[53:17] 我可能没有在这个课
[53:18] 好像没有在这个课上展示过
[53:19] 比如说这个article70
[53:25] 他是个这样的
[53:26] 我暗夜切割
[53:27] 就我的AI梗同学
[53:28] 然后会把所有的图片
[53:30] Markdown的图片都直接嵌入嵌入进来
[53:33] 然后我有一些工具
[53:34] 比如说我有一个命令行的工具可以去
[53:40] 我有一个命令行的工具可以去唉
[53:43] 这个有点宽
[53:44] 可以可以去打印文本
[53:46] 也可以去提取图片等
[53:47] 也有一个这个类似于less的工具
[53:50] 这是vibe code的
[53:50] 就我什么也没有说
[53:52] 来帮我
[53:55] 帮我去解去
[53:57] 直接在命令行里面读论文
[54:00] 然后瀑布模型就来自来自这里
[54:04] 瀑布模型
[54:05] 然后实际上啊实际上有意思
[54:09] 最有意思的是我们都讲
[54:12] 比如说软件工程学
[54:13] 学软件工程师都学瀑布模型
[54:14] 可实际上这篇文章是批判瀑布模型的
[54:18] 所以你还得就是这种还得还得去原文
[54:23] 就当一个东西好多次
[54:26] 这个经过了消化以后
[54:28] 你得到的东西可能就不是那个东西了
[54:30] 因为其实在那个时代对
[54:33] 1970年大家真的是只什么也没有
[54:36] 只能从first principle去思考
[54:38] 这个in space好
[54:49] 啧我直接让他帮我读这个
[54:54] 对我有一个rise scale
[54:58] 试一下
[55:06] 需要一点点的时间
[55:07] 没事我们我们继续读
[55:09] 如果你看到这
[55:10] 那这就是一个经典的瀑布模型
[55:12] 你看啊需求到系统的需求
[55:16] 软件的需求分析设计代码测试
[55:19] 然后去上线
[55:22] 上上线
[55:23] 因为哎我有一个这个
[55:26] 但这个我还没还可以继续
[55:28] 继续调
[55:30] 你看他说后被称为瀑布模型的原始出处
[55:33] 也是被误读最严重的一篇
[55:35] 所以应该是一个最早可能有一两个article它错误的
[55:39] 就没有没有描述所有的这个文章里面的
[55:43] 观点
[55:46] 然后我给了一个
[55:48] 他我还可以重述
[55:50] 在现代意义上重重述
[55:52] 说一个程序小到能被践踏的人
[55:55] 自己用两步就够了
[55:57] 所以你看这就是你们的online judge
[56:01] 如果你站在今天的
[56:03] 就是你站在今天你做的所有的软件的practice
[56:06] 你依然很能够很好的对上对上这个文章里面
[56:11] 当时他们的一些思考
[56:13] 这个这个OK没问题
[56:15] 但是但是啊这个很容易失败
[56:20] 如果啊如果你把这样的一个流程
[56:22] 扩展到这样的一个瀑布
[56:24] 瀑布模型是因为测他的观点
[56:28] 因为测试是整个链条上第一个物理事件
[56:31] 就你在你在设计的时候
[56:34] 你有报告
[56:34] 然后你在这个program真正被写出来之前
[56:37] 它都是不能运行的
[56:39] 这是一个first principle
[56:41] 也就是说当这种不能运行的东西在的时候
[56:44] 你都会随便做
[56:46] 这就是人
[56:47] 文档反正文档文档你我就你叫我写文档
[56:51] 我就写一个
[56:52] 你们你想你们写这个实验文档的时候
[56:57] 你们对它的正确性有guarantee吗
[57:01] 当然有同学会认真一点
[57:03] 或者说我有个best effort guarantee
[57:05] 但实际上你是没有guarantee的
[57:06] 你文档或者先写就写了
[57:08] 然后写的就放在那
[57:09] 然后可能你代码改了
[57:11] 设计改了
[57:11] 文档不一致
[57:12] 也就放在那
[57:13] 所以这些东西是没有这个一个很强的这个约束
[57:17] 在很强约束下做的
[57:18] 然而只有在你测试的时候
[57:21] 这个程序才真正跑起来
[57:23] 你才真正知道他的行为是什么
[57:25] 虽然你可能在这个编码的时候
[57:29] 就已经感觉到可能有一些有一些不对了
[57:32] 但是但是一旦你的
[57:35] 比如说你的从intent到specification到implementation
[57:40] 发生了漂移
[57:41] 你到测试的时候再发现的时候
[57:44] 就意味着你要回头去
[57:46] 这我记得应该也有一个图的
[57:48] 你要回头去这个回到前面去修改
[57:51] 那这个就会带来成本
[57:53] 所以就是超期或者超支的源头
[57:57] 你看到你看这些图
[58:00] 就如果你真的读过原文
[58:02] 读过原文
[58:03] 他很好理解
[58:04] 而且非常的就你站在今
[58:07] 尤其你今天有今天的软件工程实践以后
[58:09] 去理解它其实非常的非常的舒服
[58:12] 既然风险最终都在测试的地方爆炸
[58:15] 那所有的补救的本质
[58:17] 都是把发现问题的时间点提前
[58:21] 就非常自然的一个想法
[58:24] 设计先行文档做两遍
[58:26] Doing it twice
[58:27] 这个是它里面的一个
[58:30] 一个非常非常经典的观点
[58:35] 对应该是对这个词
[58:38] 你看他用了
[58:39] 我这里总总结了一下叫preliminary pilot program
[58:46] 他说我们先要做一个不完备
[58:49] 但是能够体现这个系统功能的设计
[58:53] 然后再把这个这个东西可能会失败
[58:56] 但它迭代的成本会变得很低
[58:58] 迭代成本变得很低
[58:59] 他就可以去reflect到这个系统的设计上
[59:03] 然后你看这是什么
[59:04] 这就是minimum viable product
[59:07] 然后然后他有各种各样的模型
[59:09] 他后面应该在论文的最后可能是这个对
[59:12] 就是就是他所想的一个software development model
[59:17] 然后你就算是在今天这个vibe coding的时代
[59:20] 你回去它还是提供了很多的软件工程的智慧
[59:25] 即便他在那个时候是在
[59:27] 比如说像航天器的任务规划
[59:30] 把人送上月球
[59:31] 在这些背景下写的
[59:35] 写的程序
[59:36] 瀑布模型
[59:37] 它他先提出的这个瀑布模型
[59:39] 然后说了
[59:40] 这个瀑布模型在软件工程中是怎么失败的
[59:43] 他分析了一个具体的失败
[59:44] 然后这个流程在今天开发软件时
[59:48] 也是完全一样的
[59:48] 因为你总是从空的项目开始
[59:51] 不管你是用什么样的版本控制工具
[59:53] 你都需要经历先想清楚你要干什么
