[00:00] 上一节课的时候
[30:01] 你就可以把团队管起来了
[30:03] 这个当然这是我们本科
[30:06] 上课的时候不怎么学的
[30:11] AI的魅力时刻就在于你真的
[30:18] 我又干了这样的一件事
[30:21] 我让 GPT 起一个 sub agent
[30:24] 然后这个sub agent不要看任何的其他的教务系统
[30:28] 只根据这个需求说明书来实现一个假的教务系统
[30:35] 然后就得到了一个哎
[30:37] 我觉得突然你又有信心了
[30:41] 突然你又有信心了
[30:44] 觉得好像我也可以
[30:48] 20万跟学校谈一个合同了
[30:50] 哼
[30:52] 哎真的还就是还跟我刚才看的那个挺像的嘞
[30:58] 返回到全部教学任务
[31:00] 我的教学任务
[31:01] 本科教材管理软件工程实践者的研究项方法
[31:06] 编辑记录
[31:07] 我看这能不能编辑
[31:08] 演示数目一保存记录
[31:11] 记录已保存
[31:13] 这个这个成功的保存了
[31:16] 学生名单
[31:20] 诶这是这GPT起名字的偏好
[31:24] 就他认为在这个我的教务系统里面里面
[31:28] 这些哎这家其实挺其其实挺挺文雅的
[31:32] 然后你又觉得他有自己的这个偏执
[31:35] 在在在在里面
[31:37] 诶这是什么一次记录缺课一次哎
[31:43] 他不给我输入一
[31:46] 那就啊保存记录诶
[31:52] 哇这个还是呵
[31:55] 那他没有阻止我
[31:57] 我记录一个这个这个其实也不合理
[31:59] 因为这个数字已经超过了
[32:02] 所有的这个学期上课次数的总和
[32:06] 但你可以看到的是软件工程的魅力时刻
[32:10] 当你的需求是清楚的时候
[32:14] 当当你的需求文档
[32:16] 已经写到那个那个程度的时候
[32:19] 那么编码的事情
[32:20] traceability的事情
[32:21] 测试的事情
[32:23] 其实AI都能帮你搞定了
[32:25] 你只需要一份需求需求就行了
[32:28] 所以这是需求工程
[32:31] 我们回一会还会回到再回回到回到这里
[32:33] 先给大家
[32:35] 看一下这个一个从入学到毕业的一个
[32:39] 教务系统
[32:40] 它包括了权限规则
[32:43] 版本数据同步操作留痕
[32:45] 各种各样的这样的一个一个功能
[32:47] 你就知道了
[32:49] 需求无非就是通过无尽的和客户的沟通
[32:54] 把客户想要什么给想清楚
[32:57] 小到包括你要在界面上面放
[33:00] 要不要放一个当前学期和学年
[33:03] 要不要在哪一个地方有一个修改的按钮
[33:06] 这些都要跟用户对齐
[33:08] 因为你的你的用户不是你自己
[33:12] 在你设计尤其是做需求的时候
[33:13] 这个是普遍的
[33:14] 我们可能computer
[33:16] comcomputer science同学缺乏的那种软技能
[33:18] 你要有同理心
[33:20] 你不是说我是一个geek
[33:21] 我就假设所有人都会写程序
[33:23] 然后你考虑的是那个教务员
[33:26] 那个教务员可能是本科学历
[33:29] 然后今年已经53岁
[33:32] 还有两年就要退休了
[33:34] 一个优雅的女士
[33:36] 那她在他这个上大学的时候
[33:42] 可能甚至都没有
[33:44] 没有操作过电脑
[33:45] 然后我要我们要设计一个教务系统
[33:47] 要为他设计
[33:49] 也要为同样为我设计
[33:51] 为年轻人设计
[33:53] 诶
[33:53] 这个时候
[33:55] 怎么得到那一张表
[33:57] 这是完全是另外的一个问题
[33:59] 当然这不是这门课的
[34:00] 不是这门课的课的重点
[34:03] 这门课重点是说
[34:05] 当你的教务系统已经像刚才那样
[34:09] 一个那么长的需求需求列表来做的话
[34:13] 其实就已经进入了泥潭了
[34:16] 就你刚才就刚才这里就说当你第一步的时候
[34:22] 或者这么讲吧
[34:22] 应该应该这么说
[34:24] 如果你真的要做一个教务系统
[34:26] 那你就是被迫的
[34:28] 你被迫要从零开始
[34:30] 当然你这就是行业的壁垒和经验
[34:32] 就如果如果我是一个行
[34:34] 有行业资质
[34:35] 或者说在这个行业已经摸爬滚打20年的公司
[34:37] 我有很多这个领域知识
[34:39] 我知道教务员想要什么
[34:42] 你作为一个毛头小伙子
[34:44] 本科生
[34:44] 你不知道这个教务员到底想要什么
[34:46] 所以你设计出来的那个软件
[34:47] 你做的那个需求很有可能就是有偏差的
[34:50] 但我有这个行业的经验
[34:51] 我设计出来的东西可能就哎
[34:53] 我对学位授予的流程比你清楚
[34:56] 我就知道这个流程应该怎么样
[34:59] 怎么样变成这个需求的文档列表
[35:02] 但某种程度上我做软件都是被迫的
[35:04] 在刚开始的时候
[35:05] 一个空项目的时候
[35:06] 没有任何东西是漂移的
[35:08] 但当你一旦写出了一个需求列表的时候
[35:13] 马上AI不管是AI还是人类就给你实现了一版
[35:18] 就像刚才我们看到的那个教务系统一样
[35:20] 那实现那版以后
[35:22] 这个你就背上了技术债
[35:26] 因为我们的定律是需求永远不可能说清楚
[35:32] 第一就是
[35:32] 你永远不可能真的把用户的需求说清楚
[35:35] 其次需求不是一成不变的
[35:39] 我这边AI帮我虚构的一个案例
[35:43] 我大概这个我能体会这个案例的
[35:48] 实际可能会发生
[35:49] 这真的是可能在学校里发生的
[35:51] 比如说我们干了这样的一件事
[35:53] 我们把离散数学课拆开了
[35:54] 这是你们知道的
[35:55] 我们觉得大家就第一门课的那个离散数学
[36:00] 没有教会大家那个数数学的语言
[36:02] 所以我把它拆开了
[36:03] 然后拆开以后就带来一个非常糟糕的后果
[36:07] 我们的准出结果变了
[36:11] 我们的保研要求也变了
[36:14] 然后新旧是衔接不上的
[36:17] 因为以前以前的系统里面
[36:20] 比如说我们要求好
[36:22] 在以前系统里面定义
[36:24] 我们要求计算机系的学生
[36:27] 或者计算机学院的学生
[36:29] 如果要毕业
[36:30] 那就必须要选修离散数学
[36:32] 合理好
[36:34] 那这个离散数学现在从上学期一门课
[36:40] 变成了上下学期两门课
[36:43] 那怎么办
[36:45] 我是不是要在系统里面增加一个规则
[36:47] 说我允许毕业
[36:50] 要么选修了离散数学
[36:52] 要么选修了离散数学一
[36:55] 这就一个或的关系
[36:57] 然后最早的时候
[36:59] 第一版本在沟通这个需求的时候
[37:01] 肯定没有想过这件事
[37:04] 系统里没有
[37:05] 系统里没有的时候
[37:07] 当他写这个需求的checklist的时候
[37:09] 他会说什么
[37:10] 好我们要在一个界面上面有一个叫毕业要求
[37:15] 就毕业要求好
[37:18] 然后在毕业要求上面我们要给教务员
[37:21] 这个可能是应该是教务员对
[37:24] 教务员有一个下拉框
[37:26] 一个增加一条的按钮
[37:29] 然后这个增加一条的按钮可以选一个
[37:31] 选一个课程
[37:35] 选一个课程好
[37:35] 这是一个非常在那个时候
[37:37] 就在在固定到刚开始做需求的那个时间点
[37:40] 这个当然是非常合理的需求
[37:43] 但是一旦这个需求固定下来
[37:48] 当我们的离散数学课拆成222份了
[37:51] 好完蛋了
[37:53] 这个东西不能适应我们新家的需求好
[37:57] 那就对不起
[37:58] 重构吧
[37:58] 我们再把这个需求的文档调出来
[38:01] 这个地方不能这样了
[38:02] 我要在这里加一个或
[38:05] 下拉框里加一个货
[38:07] 然后每当你叠加一个这个东西的时候
[38:09] 这个屎山就开始累积了
[38:10] 你们就
[38:11] 写过软件的都有都有
[38:13] 这个都懂这个你不要紧
[38:15] 你让我做个东西好吧
[38:17] 改需求真的受不了
[38:19] 因为改需求它会破坏
[38:23] 你做了一个整体上一致的设计
[38:26] 但是一旦这个需求中间产生了一个裂缝以后
[38:30] 它会传递到系统里的各个部分
[38:33] 然后当你一个看似很小的需求要改的时候
[38:36] 牵动了整个系统的各个
[38:38] 各个部分的时候
[38:40] 你就一团一团乱麻对
[38:44] 这里面举了更多的例子
[38:46] 什么重修
[38:47] 然后还可以交换
[38:48] 可以抵扣
[38:49] 也就有些课程可以抵扣
[38:50] 然后这里面带来的
[38:52] 如果有一个有一个同学从别的院系转过来
[38:59] 然后别的院系又有一个离散数学课
[39:03] 软院好像还是这个一一门的E3数学课
[39:07] 然后这时候这门课能不能抵扣
[39:11] 计算机学院的离散数学
[39:13] 他应该抵扣计算机学院的离散数学一和二
[39:17] 还是我要求我抵扣计算机学院的离散数学一
[39:22] 你还要再上一个离散数学二
[39:24] 这就无穷多
[39:26] 你一旦面对这个开放的物理世界的时候
[39:29] 你就没办法了
[39:30] 而且1万个1万
[39:32] 最后到最后你的系统里没有的东西
[39:34] 还是可以暗箱操作的
[39:36] 就最终还是有个override的
[39:38] 因为比如说你今年6年了
[39:40] 拿不到本科本科学位了
[39:42] 就是因为离散数学这门课
[39:43] 然后刚好你在这个时候碰到了
[39:46] 我把离散数学课拆成两门
[39:47] 那怎么办
[39:49] 你也没有办法
[39:50] 就现在已经是秋季学期了
[39:51] 你啊或者说现在已经春季学期了
[39:53] 马上要毕业了
[39:54] 你已经没有
[39:55] 不可能再去修那个春季学期那个课了
[39:57] 他不开
[39:57] 他在春季学期开
[39:59] 那怎么办
[40:00] 怎么办
[40:01] 最后领导说我认为这个教学主任说
[40:06] 我认为这两门课之间是存
[40:08] 可以存在替代关系的好
[40:10] 那这个系统里面最终怎么办
[40:15] 最终怎么办
[40:15] 最终好
[40:17] 打电话给工程师这个数据库里面这个好
[40:21] 这个这个这个同学他的毕业条件
[40:23] 你把它改成满足
[40:25] 然后这个就过去了
[40:27] 这个还是档案可查的
[40:28] 就是就最终这个层层的这个审批流程都会在
[40:31] 就是最终是教学院长认为
[40:32] 这个同学了这个旧的这项数学
[40:35] 还是可以可以抵扣这个新的离散数学的
[40:38] 也合理
[40:38] 就是在人类世界意义上有一个合理的解释
[40:41] 所以这就是软件系统的复杂
[40:43] 你任何时候这个实现需求就做了
[40:48] 一旦你做了需求分析
[40:50] 你就背上了技术债
[40:51] 我记得我开始上课的第一天
[40:54] 那应该是2018年的时候
[40:55] 好多年以前了
[40:57] 那个时候还是一个老版的教务系统
[40:59] 好像是可和我上学的时候教务系统差不多
[41:03] 然后上课第一天我就发现诶
[41:05] 这个系统我没有用过
[41:06] 因为我以前都是学生端
[41:08] 我第一次用老师端
[41:09] 然后发现很好玩
[41:10] 可以给同学设置缺课次数
[41:12] 然后我不知道为什么要做这个需求
[41:14] 就是就如果是我来做这个需求的话
[41:17] 我就我就我就不要把缺课次数
[41:19] 这个feature放在我的教务教务系统里面
[41:21] 同学缺课就缺课吧
[41:23] 缺课缺课
[41:23] 你留存任何一个证据
[41:25] 就你不需要在系统里留证据
[41:26] 只要老师比如说有一个签到表
[41:28] 点名表留证据
[41:29] 然后扫扫描一下
[41:30] 我就可以把你开除了
[41:31] 你们你们学生手册里面有写的
[41:33] 你们缺课达到多少个
[41:36] 无故无故缺课达到多少次
[41:37] 就可以予以开除了
[41:42] 然后我就试着绕过了那个前端的校验
[41:44] 就刚才刚才你看那个GP
[41:46] 实现那个质量还是不错的
[41:47] 我相信他前端后端也都会做校验
[41:49] 对啊我要我要输入一个非常大的缺课次数
[41:51] 他直接拒绝拒绝我了
[41:53] 我把一位同学的缺课次数从零改成了一
[41:57] 这好像也不是什么有害的操作
[42:00] 然后但是立马这个所有的就我发现所有的
[42:04] 只要能够选出这位同学
[42:06] 这个选课记录的这个页面就全部crash了
[42:08] 直接500就你就crash了
[42:11] 然后然后我就只好打打电话给教务
[42:13] 说哎呀这个教务系统这个崩溃了
[42:15] 然后我不知道他怎么解决
[42:16] 反正第二天可能工程工程师哼
[42:19] 登录到了那个数据库里面
[42:20] 然后把那个一的条目给修修复了
[42:23] 然后我就知道再也就这就是软件系统
[42:26] 你们真实面临的软件系统的的需求
[42:30] 所以这意味着什么
[42:31] 这意味着就只是需求只是一个lesson
[42:34] 因为我其实没有办法在这门课上面讲
[42:36] 需求和啊和和产品设
[42:39] 设计这个可能应该是另外一门产品课
[42:42] 我这门课讲软件工程课不适合
[42:45] 可能就这样带过比较合适
[42:48] 就AI时代
[42:49] 你做MVP没问题
[42:52] 正确
[42:53] 而且是前所未有的容易
[42:55] 你先优先实现那个最重要的功能
[42:57] 你看到一个产品
[42:58] 你马上就知道哪个地方哎呀设计错了
[43:00] 你这个时候推导的成本是比较比较低的
[43:05] 但是这也给你产生了一个驾驭AI的错觉
[43:09] 因为AI确实可以往后修
[43:12] 就是你迭代三个版本
[43:13] AI都是可以往后修的
[43:14] 但一旦你在一个真实的系统里面
[43:17] 运行足够长的时间
[43:20] 比如说计算机系改成了计算机学院
[43:21] 当你一开始面对这些事的时候
[43:23] 你原来的设计不起作用的时候
[43:26] 好你就
[43:28] 你就面临面临麻烦了
[43:30] 这也是所有的软件工程都面临的问题
[43:32] 叫there is NO silver bullet
[43:34] 没有银弹
[43:35] 所谓的银弹是
[43:37] 就是吸血鬼和狼人是没有办法普通杀死的
[43:41] 但是要有一个silver bro
[43:43] bullet
[43:44] 但是没没有没有银弹
[43:46] 这个软件工程里
[43:48] 随着软件的增长
[43:51] 你在最早的时候
[43:53] 你制定下来的那些就在第一个时刻制定下来
[43:56] 那些决策会不断的
[43:58] 因为你的软件要生存
[43:59] 要挣钱
[44:00] 就假设这个软件不是你
[44:02] 你课程上面
[44:03] 我随时可以把它清零
[44:04] 从零从头再做一遍
[44:06] 你这个软件一旦上线
[44:07] 他就开始和物理世界产生产生交火
[44:10] 那你就必须持续的背着这个technical det维护
[44:14] 维护下去
[44:14] 那它的成本就会因为你前面做的不够前瞻
[44:18] 不断的啊变得更糟糕
[44:21] 对啊这是需求
[44:23] 那解决这个问题的方式是什么
[44:28] 是什么
[44:29] 啊是架构
[44:31] 其实刚才我已经有一点点透露了
[44:36] 我们怎么怎么应对这个问
[44:39] 应对这个问题
[44:39] 当你刚开始的时候
[44:41] 你可能有一个需求
[44:43] 或者是在MVP的阶段
[44:45] 你还没有试图把所有要做的事情都放进来
[44:48] 你可以想一想
[44:49] 我们的软件第一步迈向哪里
[44:53] 是对这个软件的长期生存有最好的效果的
[44:58] 我们的第一步
[44:59] 而第一步你要做的实际上是软件的架构
[45:03] 不仅仅是一个MVP
[45:05] MVP就刚才刚才我们看的那个slop
[45:08] 那个AI生成的那个MVP
[45:10] 那已经不能算MVP了
[45:11] 这已经算是一个小小小型的产品原型
[45:15] 原形了
[45:17] 维护它会变得非常困难
[45:19] 你想要驾驭这个软件系统的复杂性
[45:22] 你在一开始的时候要想
[45:23] 我怎么样做一个最小的软件
[45:26] 使得这个软件能够随着需求的膨胀和改变
[45:31] 它依然能够一定程度上有一点韧性
[45:35] 实际上是最哪怕是最小的代码
[45:38] 它都是有软件的架构的
[45:42] 然后这里面说白了就一个把耦合解开
[45:47] 就是你不要用
[45:48] 比如说就说一开始的话
[45:49] 我用一个数据库来存放所有的需求
[45:52] 如果你在一开始的时候就立即做这个决定
[45:54] 你可以快速得到一个能work的原型
[45:56] AI也能很快给你做出来
[45:58] 但是如果你不去仔细思考
[46:00] 这个系统里面到底哪些概念是可以分开的
[46:04] 确实很容易进入啊软件维护的泥潭
[46:09] 好，讲到架构
[46:10] 大家都觉得有玄学
[46:13] 好像很高大上
[46:15] 但其实不是的架构
[46:16] 从你在第一次开始设计任何的代码
[46:21] 任何的系统的时候
[46:22] 无论它多小
[46:24] 它里面都有一种这种架构的思维
[46:26] 因为架构本
[46:27] 本质上就是怎么样去控制一个东西的复杂性
[46:31] 而当你的代码开始稍微哪怕有一点点的规模
[46:36] 你都可以去考虑这个复杂性应该怎么样去分解
[46:40] 比如说
[46:42] 我不知道你们写OJ的时候会不会这样写
[46:45] 写一个main
[46:46] 然后read input
[46:47] parse input
[46:48] Process
[46:48] input上
[46:49] Ride output
[46:50] 你们会这样写吗
[46:51] 不知道
[46:52] 然后你们会看到
[46:55] 如果你要做一个命令行的程序
[46:58] 比如说你要写一个main
[47:01] 然后这个main是有这个argc 和 argv的
[47:07] 这是操作系统和进程之间的约定
[47:10] 他会他会传一个r vector of arguments
[47:13] 把参数与字符串的形式传过来
[47:15] 那你们怎么处理参数
[47:16] 一个string compare吗
[47:20] 你就想
[47:20] 如果你今天在保研的那个集市的现场
[47:23] 那个题目要求你处理这个argv
[47:26] 你会string compare吗
[47:28] 然后你们就会回想起这个世界上有一个东西叫
[47:34] 叫getopt
[47:37] 然后你再课上看过这样的代码
[47:41] 你在做实验的时候写过这样的代码
[47:43] 然后你在别人的实际的项目里面
[47:46] 比如说你们感兴趣 Redis是怎么实现的
[47:49] Redis这些东西是怎么实现的
[47:51] 你会看到看到这样的一个代码
[47:53] 它也是一个架构
[47:55] 它也是一个分解复杂性的方法
[47:58] 因为有复杂性
[47:59] 这个argv 和 argc
[48:02] 本身就是一个非常复杂的东西
[48:04] 比如说
[48:07] 我NPM的help不
[48:09] 刚才我是npm run def好
[48:11] 它本身就有很多
[48:13] 然后有些还是支持这个长长参数
[48:19] 有UNIX风格的长参数
[48:21] 短短参数
[48:22] 然后在C的时代
[48:25] 你要写一个这个parser是很复杂的
[48:28] 这里就有个架构
[48:29] 你在这里可以getopt
[48:32] 然后他就把这个复杂性给隔开了
[48:36] 这个argv它有一组约定的
[48:39] 实际上是这个约定是有标准
[48:41] 是有个叫POSIX标准的
[48:43] 然后在这个post标准上
[48:44] 它就可以用getopt来处理
[48:47] 然后最后你只要写一个switch case
[48:48] 然后一个while循环好
[48:51] 你就可以解析这里的参数了
[48:53] 你就学会了一种这种parser的这样的一个
[48:56] 架构的模式
[48:58] 然后当然这只是一个非常非常小的小小的例子
[49:02] 你在看到任何一个好的
[49:04] 符合best practice的代码的时候
[49:06] 它背后都有架构的设计
[49:08] 然后背后都映射到需求
[49:10] 所以我说需求虽然需求
[49:12] 刚才我讲那个教务系统有点有点过度了
[49:14] 你在做任何事的时候
[49:17] 做任何软件工程行为的时候
[49:18] 其实都有intent的specification和implementation
[49:21] 不是要一个教务系统
[49:23] 那种monolithic的一个这样的
[49:25] 在随时随地
[49:27] 在一个模块里你都可以谈需求
[49:29] 都可以谈架构
[49:31] 都可以谈优雅
[49:32] 所以我很讨厌那种这个老登的那种语言
[49:35] 律师的授课方式
[49:36] 曾经
[49:38] 曾经我和这个学院的老教师
[49:40] 有这个比较大的分歧
[49:43] 然后比如说我们说我们要讲这个C++
[49:46] 相对来说至少在11
[49:48] 十四十七里面的一些
[49:50] 如果你要讲C++的话
[49:51] 那可能是在这pre-AI时代了
[49:54] 这些特性以及他们应该怎么用
[49:56] 然后这个老登的回应是说我讲了
[49:59] 我怎么没讲
[50:00] 然后他讲什么
[50:01] 他讲好
[50:03] lambda这个AB等于返回return a加B没有了
[50:07] 然后这个讲了和没讲有什么区别
[50:10] 其实你在学这个
[50:12] 就这你们在学习的时候
[50:14] 你看到的每一个东西
[50:16] 我说不管是你在GITHUB上面找到一个好的项目
[50:18] Read me
[50:19] 还是你就看到一个getopt
[50:21] 如果你再往后想一想
[50:23] 诶这确实是一种模式
[50:25] 这个模式这种parsing 的模式
[50:27] 就把一个复杂的一个字符串
[50:29] 最后变成一个简单的一个状
[50:31] 一个一个parsing state
[50:36] 它就是一种抵抗需求变化的方式
[50:39] 因为你的argv是可以变化的
[50:41] argv各种各样的变化
[50:43] 但是他用这个parsing state把这个问题给解决了
[50:49] 所以我们可以看几个比较典型的架构
[50:51] 我从最小的十行代码的架构来开始讲
[50:56] 然后架构
[50:58] 就为为什么我们现在说好大模型
[51:00] 对架构不掌控的还不是很好
[51:03] 或者说架构是一种品位
[51:05] 其实是因为架构和需求其实是连在一起的
[51:09] 你没有需求就不用谈谈架构了
[51:11] 当你当你谈需求和架构的时候
[51:14] 你的需求面对的是一个开放的
[51:16] 就是为未来的需求做的一个架构
[51:20] 那你什么样的时候能设计出好的架构
[51:22] 就是你对需求掌握到什么程度
[51:25] 举个例子就是我最喜欢的Tower of Hanoi
[51:28] 非地位的Tower of Hanoi
[51:30] 我曾经也是在
[51:33] 就我以前开始上课的时候
[51:34] 我先问我的研究生
[51:36] 保研的研究生说
[51:37] 哎你让你写个非递归的这个Tower of Hanoi
[51:40] 你能写出来吗
[51:40] 然后研究生摇头
[51:42] 这个
[51:44] 所以所以最后就变成了我上课的时候的一个
[51:47] 一个例子
[51:47] 然后其实就这个十行的代码
[51:51] 它背后的架构联系到大家
[51:54] 为什么写不出来
[51:58] 为为什么写一个非递归的汉诺塔
[52:00] 那么困难
[52:01] 那我们来看一看
[52:03] 现在的人和就人和模型对这个架构
[52:07] 就比如说我要做一个非递归的汉诺塔
[52:09] 我就给他一个problem
[52:09] 他说我要写hanoi
[52:10] 他们好多人你们来猜一猜GPT 又写了什么
[52:13] 这个即便说我不做人类了
[52:17] 我就你写不出来
[52:19] 是因为你的数学不如我好
[52:21] 然后他找到了这个汉诺塔的这个数学性质
[52:24] 所以很明显的GPT-6是一个对数学
[52:27] 就他也就AI 在数学道路上狂奔
[52:29] 然后希望他在数学上面的能力
[52:31] 能够拯救人类世界的一切
[52:33] 然后他就开始写这个
[52:35] 反正这是对的
[52:36] 他说盘号等于一加上步号
[52:38] 二进制末尾零的个数
[52:39] 每个盘子的移动方向
[52:42] 这还是一个移动方向固定吗
[52:44] We don't know
[52:44] 反正anyway
[52:45] 他这个应该是对的
[52:46] 反正你看不明白
[52:47] 但是highly optimized极度最优
[52:51] 当然我没有
[52:52] 除非我叫它模拟栈好
[52:54] 同样的prompt这个DeepSeek v4flash就更有人感
[53:00] 他写了个非常优雅的代码
[53:02] 就是标准答案
[53:03] 基本上如果你要写一个非递归的这个
[53:07] 汉诺塔的话
[53:08] 这是一个非常干净的架构
[53:10] 因为他知道我们的recursion递归
[53:14] 当我说要把一些盘子移过去的时候
[53:16] 那我要把这个剩下的任务一定要留在留在站
[53:19] 就还要继续执行的任务
[53:21] 留在站里
[53:21] 这样我总是执行栈顶的任务
[53:24] 往前所以非常优雅的优雅的事情
[53:26] 然后然后我特意试了一下豆包
[53:28] 然后豆包写了一个错的
[53:29] 然后我就呵呵
[53:30] 我就呵
[53:31] 我就不展示了
[53:32] 豆包就豆包选了这个方案
[53:34] 但是写了一个写了一个有瑕疵的代码
[53:38] 跟这个基本上差不多
[53:39] 我就不展示了
[53:41] 然后我就不一样
[53:42] 我作为一个架构师
[53:45] 架构关乎的是你对需求掌握到什么程度
[53:48] 所以我要写一个非递归的汉诺塔
[53:52] 我想的是为什么大家写不出来
[53:56] 大家写不出来的时候
[53:57] 是因为你对递归这件事情理解的不够深
[54:01] 所以我故意的把
[54:03] 上过我课的同学都见过这个代码
[54:05] 我故意说
[54:08] 我们的程序实际上是一个状态机
[54:10] 回头可以回头
[54:11] 你们可以去看我操作系统讲的这个课
[54:13] 然后任何一个就是C语言
[54:15] 是一个我花了一整节课来讲
[54:17] 这个C语言是一个C语言的状态的
[54:20] 然后这个状态一个single step是它的这个operational semantics
[54:24] 叫操作语义
[54:25] 然后他的一个小步语义
[54:27] 比如说一个hanoi(n-1)
[54:31] 它是一个well defined的
[54:33] 在程序语言世界上是well defined的一步操作
[54:36] 所以我们只需要模拟这个
[54:38] 我可以写一个C语言的解释器
[54:40] 当你理解了C语言的解释器的时候
[54:42] 你就很容易写出把任何代码
[54:44] 我当时讲的其实是两个函数
[54:46] 互相F 调 G、G 调 F的
[54:47] 你非常容易没有任何难度
[54:49] 因为你就是把这个C语言的形式语义
[54:51] 小步语义翻译成一个状态机的表示
[54:53] 所以就是这个
[54:54] 然后你可以把它翻译成它
[54:56] 就如果你觉得如果你觉得这个
[55:00] 如果你觉得这个代码不够优雅
[55:02] 对于Tower of Hanoi来说
[55:04] overkill了
[55:05] 因为我可以把任意的程序翻译
[55:07] 你还可以把它变成这个
[55:08] 他们俩是等价的
[55:09] 对
[55:10] 做一个simplification
[55:11] 做个优化就可以从它变变成它
[55:13] 所以我从我来看
[55:14] 我作为我的架构师
[55:16] 这是理解C语言形式语义的好机会
[55:18] 所以看到不同的人
[55:19] 就我现在现在我还可以守住我的品位
[55:22] 我说这个GPT可能他其实他懂
[55:24] 但是他可能不会往这个方向去想
[55:26] 所以我觉得就我有比较强的信心
[55:30] 认为强化学习
[55:32] 可以把这个 GPT 往这个方向去引导
[55:35] 他
[55:35] 一旦学会他也能
[55:37] 做出在适当的时候会做出这样的这样的实现
[55:40] 当然最后有个搞笑的
[55:42] 我在百度上搜索了非递归汉诺塔
[55:46] 然后找到了第一个这个
[55:48] 而且百度很搞笑
[55:49] 百度
[55:50] 百度第一个第一个条目还是递归汉诺塔
[55:53] 然后我往下找到CSDN的
[55:55] 第一个非递归汉诺塔
[55:56] 然后我看到了这样的一个代码
[56:00] 啧这个我甚至比AI slop
[56:04] 就它甚至比AI slop还要问题还要严重
[56:08] 就这里有一个move
[56:10] 但是STD是有move的
[56:12] 哦对哈他这个然然后在右边
[56:20] 我不知道是不是不是AI是不是评论
[56:23] 那是不是AI
[56:25] 也给你营造一种这个CSDN的博客
[56:29] 质量很高的感觉
[56:30] 但如果你们在上学的时候被这种 slop
[56:33] 污染了
[56:35] 就是你还不如跟跟AI学
[56:37] 跟DeepSeek学都很好
[56:39] 不要GPT-6已经不当不当人了对
[56:43] 所以看同一个汉诺塔四种表达
[56:46] 我们说我们要控制的是复杂性
[56:49] 它是一个架构
[56:51] 也关乎抽象
[56:52] 然后我们站在不同的层面上考虑这个问题
[56:56] 叫跳出问题看问题
[56:58] 那gt跳gt也跳出问题看问题了
[57:02] 一切都是数学规律
[57:04] 我只要把这个里面
[57:05] 程序世界里面的数学规律理解清楚
[57:07] 那没有任何问题是我解决不了的
[57:09] 我服
[57:10] 然后deep seek做了一个
[57:13] 这是一个人类反复说
[57:14] 递归是栈
[57:15] 递归是栈
[57:15] 递归是战
[57:16] 他在语料里面学到了这一点
[57:17] 做了一个正确的事情
[57:19] 然后我往外走了一步
[57:20] 是你们对编程语言是世界的理解
[57:24] 投射成了递归和非递归的区别
[57:26] 然后再投射成啊这样的一份代码
[57:29] 那这个不知道是什么
[57:30] 这个这个就这就属于是训练还没有收敛
[57:33] 我觉得这训练还没有收敛的
[57:35] 这个很有意思吧
[57:36] 就是你在任何一个小的地方
[57:39] 都能看出架构水平的高低
[57:43] 这是十行的十行的架构
[57:46] 然后如果我们要再大一点
[57:49] 比如说2000行的架构
[57:51] 我们展示跳出问题看问题
[57:53] 代码之外有客户的规律
[57:55] 客户之外有社会的规律
[57:57] 社会之外有宇宙的规律
[57:59] 你们肯定想问架构的能力从哪来
[58:03] 从你学过的每一个东西上来
[58:06] 如果它是好的
[58:07] 它是优雅的
[58:07] 他促使了你对这个问题的思考
[58:11] 压缩就是智能
[58:12] 你把它压缩了
[58:14] 那你的那个first principle
[58:15] 你总是从first principle去推导诶应该怎么样
[58:20] 所以其实这些能力就是你在学校里面
[58:21] 学习社会上面的积累
[58:23] 共同赋予了你的啊这个能力
[58:26] 比如说你必须要和除了教科书
[58:30] 除了做题之外的人打交道
[58:32] 你才能知道一个
[58:35] 马上就要退休了
[58:36] 一个优雅的这个教务老师
[58:39] 他是怎么看待教务系统的
[58:41] 他的想法可能和你的想法不一样
[58:43] 你的想法总是最好的
[58:44] 数据库最高的性能
[58:46] Whatsoever
[58:46] 但他来说他只是想要那个字大一点
[58:48] 他能够点鼠标的时候
[58:50] 不要手滑到那个按边上那个按钮上
[58:54] 共情别人的能力
[58:57] 然后2000行2000行
[58:59] 我讲一个我上课时候讲过的例子
[59:01] qr code generator就是二维码生成
[59:04] 我上课的时候讲了一个Excel生成二维码的例子
[59:07] 我要打开它一下吗
[59:08] 我可以打开它看一下
[59:11] 应该是第一次课的时候
[59:27] 对就生成这样的一个可以扫描的二维码
[59:31] 然后他可以把任何一个一个长的字符串
[59:35] 然后编码编码成一个你能够直接扫描的
[59:40] 二维码
[59:41] 然后你回头再用软件工程的
[59:44] 就用我们今天讲过的概念去理理解这个问题
[59:47] 我们的需求
[59:50] 这是一个
[59:51] 这是一个和教务系统不太一样的例子
[59:54] 他的需求是非常明确的
[59:57] 需求因为需需求就是Excel的一个一个单元格
[60:00] 就我希望在这个Excel里面对
[60:05] 有生成一个零一序列的单元格
[60:07] 然后他有一个输入的单元格
[60:09] 它有一些输出的单元格
[60:11] 就非常非常deterministic的
[60:14] 任务
[60:15] 但是这里面是有架构的考虑的
[60:19] 你的Excel的公式呵
[60:22] 就我当然agent其实还挺好玩的
