[00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[31:27] 达到了世界第一
[31:28] 然后OpenAI好像又要发新的模型了
[31:32] 这当然我觉得也可能是非常可怕的事情
[31:35] 但无论如何
[31:37] 模型都是一个模型
[31:39] 它的品位基本上是固定的
[31:42] 尤其是在你不控制它的时候
[31:44] 它会朝一个固定的方向去发散
[31:47] 这也是为什么我们会鼓励大家要跟不同的人聊天
[31:51] 为什么学校里面有不同的人老师来上不同的课程
[31:55] 多样性其实是好的
[31:57] 你见识过了以后
[31:58] 你就可以越来越明确的知道你想要的到底是什么
[32:03] 然后把它精确地说出来
[32:04] 这其实是需要你对软件工程的
[32:07] 拦截工程的
[32:08] 支持的
[32:09] 反而现在最不重要的是
[32:11] 如果你已经到达了这一步
[32:13] 比如说你理解了技术选型
[32:15] 明确的知道了技术选型的好坏的之间的区别
[32:19] 那你真的是可以和AI去讨论这个
[32:22] 比如说我现在有两种选择
[32:24] 谁好谁坏
[32:25] 你可以你可以像这个费曼学习法那样去引导AI
[32:29] 我现在要做一个
[32:32] 比如说你要做一个教务系统
[32:33] 你承承担了教务系统的订单
[32:36] 那你后台是应该用Python还是应该用java
[32:39] 还是应该用type script
[32:41] 你如果你知道这几个语言之间
[32:44] 他可能潜在
[32:46] 比如说未来你要上云的时候
[32:47] 会不会遇到什么问题
[32:50] 哪一种可能会更方便等
[32:51] 你就可以跟AI去讨论
[32:53] 你当老师
[32:54] 你说我现在要做这件事
[32:55] 我要我要这个请你请你挑战我
[32:58] 这样能不能说服说服底下的一个学生O好
[33:03] 这是啊上下上下文工程啊的东西好
[33:09] 那么讲了应该怎么样去写prompt
[33:15] 我们还是要稍微再讲一讲模型是怎么遵循指令的
[33:19] 就是听指令这件事到底是怎么完成的
[33:23] 这样我们就可以更好的去让模型听我们的指令
[33:29] 我们讲过模型是一个概率分布
[33:31] 它根据你当前的上下文去
[33:33] Predict next token
[33:34] 其实这里有一个非常有insight的
[33:38] 每一次模型输出一个token
[33:41] 它其实都是一个非常有限的计算
[33:43] 看起来比说模型现在有一个这个3tb的模型
[33:50] 3T的模型1.5
[33:51] tb的模型一个
[33:53] 当然这个数字本身确实是非常的大
[33:56] 是足够大的模型
[33:57] 但是模型为了输出一个token
[34:00] 它也就是把其中激活的那一部分走一遍
[34:05] 所以它是一个固定大小的计算
[34:08] 然后你们也你们可能在刚上这个计算机系的时候
[34:14] 你会听说这样的一个一
[34:17] 听说这样一个东西叫图灵机
[34:19] 叫Turing machine
[34:20] 然后然后可能会听说过说图灵机的计算能力是非常大的
[34:26] 大到和我们整个宇宙都是等价的
[34:28] 你们你们可能听过这句话
[34:30] 但是不完全要知道这个Church-Turing 论题它背后代表的是什么
[34:35] 然后哦你们也知道有限状态机
[34:38] 这个这个你们都知道
[34:39] 在数字电路课里面做过的有限状态机
[34:42] 有限状态机就是你有一个比如说计数器
[34:44] 从000110
[34:46] 一一
[34:47] 然后再回到001个有限的状态
[34:49] 然后有限你的这个有限的状态的
[34:51] 状态机和图灵机之间唯一的区别是什么
[34:56] 是图灵机
[34:57] 有一个无限长的纸袋
[34:58] 他有一个记忆可以把墙上有一个草稿纸
[35:01] 可以把它把它记下来
[35:03] 然后也有一个很有趣的
[35:05] 我很喜欢的一个说法是这样的
[35:09] 你的脑子是一个有限状态机
[35:12] 我们脑子里的神经元是有限的
[35:15] 我们每一次思考都是都是有限的
[35:18] 那有点像模型
[35:21] 模型他能力很强
[35:21] 但是他在predict next token的时候
[35:26] 它的计算量也是有限的
[35:28] 也就是那一次推理所激活的
[35:31] 所有的参数可能也就几百个B列好
[35:35] 那是什么使你
[35:37] 这是一个应该是Manuel Blum给研究生的建议
[35:41] 里面说你是一个final state
[35:46] Automa
[35:47] 你是个有限状态
[35:48] 你是你人是一个有限状态机
[35:49] 但是当你有paper和pencil的时候
[35:52] 你就是一个turing machine
[35:55] 你就得到了计算能力的一个大跨越式的增长
[36:01] 这件事情是对的
[36:02] 这件事情是对的
[36:04] 当然这是为了启发你们要把想法记下来
[36:07] 你们一边思考
[36:08] 一边要记录
[36:09] 然后可以随时回看自己的思考
[36:11] 随着时间越来越长
[36:12] 你记的东西越来越多
[36:14] 你的知识就会就会积累
[36:16] 然后你发现今天的这个模型
[36:18] 这个chain of thought就是就是往后
[36:21] 吐思维链的模型就是做了这件事
[36:24] 他直接把这个模型的上下文当做了paper and pencil
[36:31] 当成了纸和笔
[36:33] 当然这个纸和笔是有缺陷的
[36:36] 就是这个纸和笔它只能往后写
[36:38] Append only
[36:38] 不停的往后写
[36:39] 它不能不能擦
[36:41] 他靠依靠模型的注意力
[36:43] 把这个写错的东西就忽略掉
[36:45] 但是他是pony的
[36:46] 这也许有一天就能就能改掉
[36:48] 但是无论如何
[36:50] 模型学会了利用它的这个上下文
[36:54] 如果遇到一个比如遇到一个很简单的
[36:58] 答案1+1等于几
[36:59] 他马上next token
[37:00] 就会告诉你是二
[37:00] 这个没问题
[37:01] 但如果遇到一个很难的问题
[37:04] 他会像人一样诶这个问题有点难
[37:07] 我要先想一想
[37:08] 那么为了解决这个问题
[37:10] 我可以先试一试什么
[37:11] 他理解自己可能解决不了这个问题
[37:15] 他理解自己可能要把这个思考的过程写下来
[37:18] 直到这个解可能是对的
[37:21] 可能是错的
[37:21] 完全写出来了
[37:22] 他在
[37:24] 一旦那个解答写出来了
[37:28] 他就可以再去试一试
[37:29] 这个解答是对还是不
[37:32] 他可以判定
[37:33] 然后再往再往后
[37:35] 这是这是这个现在chain of thought模型
[37:37] 做的做的事
[37:39] 他用token的数量
[37:41] 他可以直接回答
[37:42] 但他直接回答就有就是错误的风险
[37:44] 刚开始最早有ChatGPT的时候
[37:46] 他没有思维链的时候
[37:48] 他就是这样的
[37:49] 他被调成了一个人类的舔狗
[37:51] 调整人类舔狗就意味着人类不管说什么
[37:54] 他就一定要说一个东西
[37:55] 它才有可能满足
[37:58] 如果如果我说就当时差ChatGPT在训练的时候
[38:03] 如果人类问他一个问题
[38:04] 他不回答或者
[38:06] 他就不回答
[38:07] 那人类一定是给低分的
[38:09] 而如果他随便给一个回答
[38:11] 他就有概率是对的
[38:12] 那错了
[38:14] 如果他答错了
[38:14] 那当然也是低分
[38:15] 但是他答对了
[38:16] 他就是高分
[38:17] 所以他无论如何这个幻觉就是这么来的
[38:19] 他无论如何一定要给你一个111个东西
[38:22] 但是现在这个带chain of thought模型
[38:25] 它有强化学习以后
[38:26] 他就会知道
[38:27] 他必须要给一个对
[38:28] 因为它他答错的惩罚很大
[38:30] 好他就他就学会了
[38:32] 就学会了这个
[38:34] 所以AI就真的会像像人一样一步一步逼近目标的这个test-time scaling
[38:38] 就在我们每一次拍的这个session
[38:40] 上课的时候的
[38:41] session里面
[38:42] 看到的一样
[38:43] 我举几个例子
[38:45] 这几个例子其实不在
[38:47] 模型训练的这个数据当中
[38:51] 其实
[38:51] 这个还挺好玩的
[38:53] 我们来看一下
[38:54] 我换一个目录
[38:58] 我要用中文写一个押韵的藏头诗
[39:01] 反正随便
[39:02] 一个nonsense
[39:04] 头是一个nonsense
[39:07] 然后我还要求他讲一个动物相关的故事
[39:10] 我还要求"二零二六年九月一日"八个字
[39:13] 分别按顺序出现在八句里
[39:15] 这个就你看这是个nonsense
[39:17] 然后对人来说
[39:19] 你比如说高三哪一年期末考试就出这么一个
[39:25] 你马上第一眼就骂这个老师
[39:27] 这老师是怎么想的
[39:29] 但模型不会
[39:31] 模型会照单全收
[39:32] 你看它有一个思维链
[39:35] 它会开始试
[39:38] 你看他一样
[39:39] 他会先想韵脚
[39:41] 因为他不确定他
[39:42] 因为它知道它自己一把头写出来这个东西一定是错的
[39:46] 但是他可以先写一个出来
[39:48] 他写一个出来以后
[39:49] 它就能够用它的模型的
[39:51] next token prediction是足够判定这个东西写得对还是不对的
[39:56] 如果不对
[39:57] 他再想办法再改
[39:58] 他如果试了很久不行
[40:00] 它会再从头推
[40:01] 我换一个韵脚
[40:03] 所以它就开始——对你看它在不断地验证。好，
[40:13] 脊椎二路穿林雾学幻六珠共识
[40:18] 属院中酒鸡蒸米素珍如月下老牛布
[40:24] 相当不错
[40:25] 虽然你就觉得品味上肯定可能不完美
[40:31] 但是你看到了
[40:33] 就用这样的任务其实很好玩
[40:36] 可以看到它遵循指令的过程
[40:39] 就是这是一种我们把他的大脑好像是拿出来做核磁共振的
[40:44] 这个就你能找到他的思维的偏好
[40:46] 然后这个是ChatGPT给我的
[40:48] 就你们在课件上面看到的带"新"的都是AI生成的
[40:53] 都是AI补充的东西
[40:54] 虽然我还是用了一些prompt的修饰
[40:57] 试图让它——我又加了一点prompt
[41:00] 所以这个AI味好像稍微会轻一点
[41:03] 但anyway，这是AI生成的
[41:07] 你看他换了一个韵脚
[41:09] 而且它没有把"二零二六年九月一日"就完全压到同一列
[41:15] 但它同样它的这个执行指令也是
[41:18] 也是非常好的
[41:19] 那么很有意思的是
[41:22] 一般来说它强化训练的时候
[41:25] 这样的东西是比较少
[41:28] 相对来说它可能会有
[41:29] 但是会比较少
[41:30] 这个一定是不在他的训练的
[41:34] 训练数据里
[41:35] 他不可能在训练数据里面猜
[41:37] 猜出这个东西吧
[41:39] 结果就是他在训练的时候用的绝大部分应该是代码
[41:44] 数学题
[41:45] 这样有明确反馈的东西
[41:47] 他把人类直接给杀死了
[41:49] 这个这也是一个
[41:54] 当然也很好
[41:56] 也很好玩
[41:57] 你如果期末考试的时候
[41:58] 就高考的时候
[41:59] 你碰上这个题
[42:01] 然后你马上就想骂这个出题人
[42:03] 你脑子是怎么想的
[42:05] 你要写一个18字的一句话
[42:09] 全部要求相同的偏旁或者部首
[42:12] 而且我们也知道模型对于空间结构感知是非常差的
[42:18] 模型需要视觉模型才行
[42:21] 但是就是就是这样的一个文本模型
[42:25] 它依然可以强行通过思维链的方式
[42:28] 你看它现在枚举字
[42:31] 他先选一个
[42:32] 它觉得三点水最好
[42:36] 然后写这个
[42:44] 江湖游泳渡河
[42:46] 波涛汹涌
[42:47] 泪流满溢
[42:48] 洗涤污泥
[42:50] 洗涤你污
[42:50] anyway
[42:51] 写的还可以
[42:53] 写的还可以
[42:55] 那这个也很好
[42:56] 洪涝淹没江江港渔府
[42:59] 这个还挺有故事感的
[43:01] 由有和有无漂浮
[43:03] 这个是继续写的
[43:05] 但是我觉得人类就这个任务上
[43:08] 人类还是有更强的天赋的
[43:12] 我不太记得了
[43:13] 那个人类的就人类的群体智慧给的是什么
[43:17] 什么玩玻璃球涂润滑油什么
[43:20] 我就不再讲下去了
[43:22] 他这个这个对
[43:24] 这个anyway
[43:25] 这个——当我——什么也没有说
[43:28] 没有说这个。就是人类在做这件事情上
[43:32] 还是a lot better
[43:34] 当然你就
[43:39] 也许你可以通过这个让AI更多的收束spec的方式
[43:44] 但是这已经是一个非常困难的spec了
[43:48] AI可以做到
[43:51] 以及这可能是世界级的
[43:54] 你们已经知道《施氏食狮史》和这个GGGGG的
[44:00] 就他所有的都用
[44:02] 都用同一个音
[44:04] 然后我竟然发现GPT-5.6依然能做到
[44:09] 虽然它的故事性确实也跟这个比如说千古流传的还是有一定的差距
[44:16] 但这个差距我觉得依然是可以缩小
[44:18] 就是他能写出来一个
[44:20] 就意味着我可以引导他写出来1万个
[44:23] 然后在那1万个里面我可以再微改一下
[44:26] 它可能就可以达到一个接近这种千古流传的东西
[44:31] 所以chain of thought它在数学和编程上面训练
[44:34] 但是它得到了一个非常意外的效果
[44:40] 所以你们看到写prompt最重要的就是那个verifier
[44:45] 今天模型的那个能力已经非常强了
[44:48] 如果你们能够给模型一个非常明确的verifier
[44:52] 就像我前面三个都是非常明确
[44:55] 信号非常明确的verifier
[44:57] 他看到字才知道这个字是什么偏旁
[44:59] 什么部首
[45:00] 再加上一个足够强的模型
[45:03] 那么不管它是编程任务
[45:05] 教学任务
[45:07] 当然教学任务最难
[45:08] 其实它很难验证
[45:09] 就是我们我们经常讨论的时候
[45:11] 比如说我的这个数字切片就翻车了
[45:16] 我做了第一个切片
[45:16] 然后第二个切片我一直都没有办法把它做好
[45:19] 就是因为无论我怎么调
[45:22] 我都很难写一个
[45:23] 就说我这东西要好
[45:25] 然后这个好又是多方面的
[45:28] 首先AI味要淡一点
[45:30] 那这个可能本身我那个text-to-speech的模型我就做不到
[45:34] 但这可能还不是本质的
[45:36] 还有一个就是我在上课的时候
[45:37] 你看我有这个情绪的波动和起伏
[45:40] 我有些东西讲事实的时候
[45:42] 我一开始讲
[45:43] 这模型的上下文是怎么怎么构成的
[45:46] 这些。好，
[45:47] 那你们听的都是废话：介绍这些事情我已经知道了
[45:50] 诶
[45:51] 我就会给你们一个小的surprise
[45:53] 我就去pi里面让它自己把这个上下文看一下
[45:56] 然后，当我说出来这句话的时候
[45:59] 可能对你们来说是意料之外
[46:03] 情理之中的
[46:04] 那这就是一个老师在组织这个课堂的时候要做的事情
[46:08] 某种程度上我是在表演
[46:10] 那我当然我知道这个principle
[46:12] 是我需要把这个课堂内容组织成一个有
[46:16] 有起有落的一个flow，但是这不是一个可以验证的东西
[46:24] 到底什么样的程度我需要和你们共情
[46:28] 我是从学生过来的
[46:29] 所以这就是我觉得我现在和AI还不一样的地方
[46:32] 我每一个人都是从学生过来的
[46:34] 我自带了人的属性
[46:35] 我自带了人对这个世界的体验
[46:39] 然后这个时候我因为我对世界的体验更好
[46:41] 所以我更懂你们
[46:43] 也许可以
[46:45] 有一个更符合大家上课节奏的
[46:48] 但是这个东西没有给verifier
[46:51] 不像数学和编程那样有一个verifier
[46:54] 所以现在目前来说
[46:56] 我们还是更容易用AI去实现
[46:59] 这个有明确啊verifier的啊部分了
[47:02] 但在有verifier的事情上
[47:03] 你可以完全可以认为这个AI已经超越了大部分人的
[47:07] 就是做这件事情的啊极限了
[47:10] 所以我们更多的是要和AI去协作来
[47:15] 做好我们手头的任务
[47:18] 或者说把模型当成是我们能力的一个非常重要的
[47:25] 放大器
[47:26] 放大器。实际上这个思维链
[47:28] 它带来的这种指令遵循的能力
[47:33] 还可以再往深里面再想一想
[47:36] 其实是这样的
[47:37] 他每输出任何一个token
[47:40] 像现代模型叫self-attention
[47:42] 它叫注意力机制
[47:43] 这个机制跟我们人还是很像的
[47:46] 它有一层一层叠起来的
[47:48] transformer的一层一层的注意力
[47:50] 然后每当他输出一个token的时候
[47:54] 或者说他要输出这个token的时候
[47:55] 它都会看到过去的某一些token
[48:01] 相当于他为了输出这个token的时候
[48:03] 过去某些token会显得特别引起人的注意
[48:07] 然后有些token就可能不那么注意
[48:10] 我举个例子
[48:11] 比如说我在前面这个system prompt或者agents
[48:14] .md里面有一个"用中文回答"
[48:17] 这个用中文回答
[48:18] 然后我现在在这个地方user的这个prompt里面写的是
[48:23] 你帮我实现一个极品飞车
[48:25] 然后这个时候他在写代码
[48:27] 那在写代码的时候
[48:28] 这个注意力就会倾向于集中到我的这个已经写过的代码
[48:33] 然后这个需求这些部分
[48:35] 而相对来说，"用中文回答"这句话
[48:39] 它的注意力就会减下来
[48:41] 当然这是模型训练的magic
[48:43] 它最终能够通过注意到正确的词
[48:45] 也相当于是整个上下文是一个非常高维的一个很糟糕的表示
[48:51] 但是里面有一个低维的结构
[48:52] 然后注意力机制能够把它给啊把它给捞出来
[48:55] 然后这就意味着我们的每一个chain of thought的token
[49:01] 他都会注意到一些过去的某一个部分的东西
[49:06] 然后随着它的输出
[49:08] 比如说我的代码写完了
[49:10] 比如代码写完了以后
[49:12] 他要总结一下
[49:13] 他会喘一口气
[49:13] 跟人其实是一样的
[49:15] 人也是当你集中在做某一件事情的时候
[49:17] 比如说你一个数学题
[49:18] 你就算化简这个算式的时候
[49:20] 你所有的注意力都是在这个算式上的
[49:23] 然后你把那个算式化简了
[49:24] 然后算式化简完了以后
[49:25] 你吸一口气
[49:26] 让我来调整一下的时候
[49:28] 你的注意力就变了
[49:30] 当你那段代码写完了以后
[49:32] 你的注意力就可以集中到
[49:34] 用户还要我用中文
[49:36] 用户还要我做一件别的事情
[49:38] 就你看他输出到不同阶段的时候
[49:40] 他的注意力会变化
[49:42] 这也是模型训练带来的结果
[49:44] 这就是一个magic一个非常大的模型
[49:47] 竟然可以收敛到
[49:48] 就这是预期的
[49:49] 就是收敛的时候
[49:50] 我希望我希望能够在正确的时候注意到正确的东西
[49:53] 然后你思维链一直在向前走
[49:56] 它就会不断的在不同的时刻注意到不同的部分
[49:59] Eventually
[50:00] 他就能把这个上下文里面所有你要的指令
[50:03] 一定程度上都满足
[50:07] 也就是说你会犯一个错误
[50:08] 你的token
[50:09] 你现在当前专注于做这件事的时候
[50:12] 你可能向向后输出了一些不满足要求的东西
[50:15] 但当你停下来喘气的时候
[50:17] 他就能看到你输出当前当前输出的那些不满不满足要求的东西
[50:22] 和过去的某一个要求
[50:24] 他的注意力可以看到
[50:25] 同时看到这个
[50:26] 然后他说哦我错了
[50:27] 我错了
[50:28] 我要再纠正一下
[50:29] 于是你看到比如说你真的让AI再去写那个什么藏头诗的时候
[50:34] 看他会不断的纠错纠错纠错纠错纠错
[50:36] 哪怕到是skill到100万上下文的时候
[50:40] 他依然能够保持一定程度的啊注意力
[50:45] 当然当然这也意味着你的指令越多
[50:49] 给模型的压力也越大
[50:52] 上下文是一种
[50:53] 会抢夺注意力的资源
[50:56] 这也是为什么我们就刚开始的时候
[50:59] 因为像chat bt
[51:02] 3.54
[51:03] 它遵循指定的能力实在是太差了
[51:06] 所以你们你们会看到网上有好多的这个叫prompt engineering的guide
[51:11] 然后他会说什么
[51:12] 你是一个专家
[51:13] 然后你是一个什么样的专家
[51:14] 你是一个什么什么什么
[51:15] 就这些写了很长的提示词
[51:17] 然后他某种程度上是在hack这个模型的self attention
[51:22] 使得就是说当模型的attention注意到
[51:25] 你是一个什么专家的时候
[51:26] 他就会假装那个专家来
[51:28] 专家专家专家来说话
[51:29] 那但是从GPT5的时代开始
[51:32] 就明明确了这个chain of thought大家训出来了
[51:35] 就知道怎么样收敛到这个好的CHAUSALT以后
[51:39] 你就不需要那样的奇怪的提示词了
[51:43] 你只需要把你明确的verifier写在你的这个上下文里
[51:48] 且在上下文里
[51:50] 模型就被训练成他一定能看到它
[51:52] 能看到它
[51:52] 模型就会训练成一个非常强的这个执念
[51:56] 去把你的verifierL看一下
[51:58] 解决确认
[52:00] 因为因为他是受惩罚的
[52:01] 在训练的时候
[52:02] 这个你相当于拿鞭子抽他
[52:06] 如果有任何指令不遵循
[52:08] 因为你有一个verifier
[52:09] 所以我就知道你的模型没有遵循完
[52:11] 我就会用鞭子抽你
[52:12] 然后你抽抽抽抽你就会
[52:14] 你们高考过来的都知道
[52:16] 你就会变成一个真正的做题家
[52:18] 他会不无限的你和你的上下文里面的各种各样的指令
[52:23] 然后这也带来一些非常有趣的后果
[52:27] 比如说我们我们在写前端的时候非常正常
[52:31] 说哎我们要一个白色的背景
[52:33] 不要半透明的效果
[52:35] 这就是说前面前面是我们要的是白色
[52:37] 主要是一个白色背景
[52:38] 然后后面是一个补充的解释
[52:40] 我看可能解释很多
[52:41] 然后AI当然会照做
[52:43] 然后他能遵循指令没问题
[52:44] 就是因为这是一个明确的有verifier的指令
[52:47] 它会确保有没有保玻璃效果或者怎么样背景是不是白色
[52:51] 甚至甚至如果你的prompt给的比较严格的话
[52:54] 比如说你每做一个设计都要截图
[52:57] 然后用视觉模型检验
[52:58] 那他真的也会去照照做
[53:00] 大概要干一件什么事
[53:02] 这个他会做完了以后写一个代码
[53:06] 代码后面有一个注释是白色背景
[53:08] 括号不要半透明效果
[53:10] 这就是这个这个模型
[53:12] 就你可以看出模型训练的那个
[53:15] 他在强化学习的时候知道这件事情非常重要
[53:18] 但是他也有一点没有没有转过弯来这个这个是我人人要的
[53:23] 所以说他在模型在共情这个方面
[53:25] 因为后训练的强化学习还真的是稍微稍微差了一点
[53:30] 然后有时候会觉得模型不说人话
[53:31] 因为强化学习啊学习多了对
[53:35] 所以其实你们还是面临了一些TRADEOFF的这个
[53:42] 我们比如说啊打比方为了静止这种情况
[53:48] 我可以写一个agents.md
[53:50] 然后在这个agent点MD里面去描述这个行为就是什么
[53:54] 比如说什么注释是什么
[53:56] 怎么写什么写
[53:57] 或者我写一个skill的时候
[53:58] 当你要写注释的时候
[53:59] 应该怎么样
[54:00] 但我写的这个东西又会同时还会污染上下文
[54:05] 所以这就成为了一个trade off
[54:06] 到目前为止
[54:07] 我认为还没有一个通用的
[54:10] 就把所有问题都解决好了
[54:11] 比如说大家可能会觉得我现在网上有这么多skills
[54:15] 那我只要从网上拿一个过来就可以了
[54:17] 然后你会发现拿过来的东西你第一次用的时候确实有改进
[54:21] 在你下一次用的时候发现它还是不够好
[54:23] 然后你就会上手上手感
[54:24] 而陷入一个某种某种泥潭的状态
[54:28] 然后我的建议可能是在你发现你进入泥潭状态的时候
[54:31] 还是要回到自己给指令
[54:33] 然后自己想清楚就回到我们的模型
[54:37] chap shot是怎么工作的
[54:39] 注意力是怎么工作的
[54:41] 他大概猜到的就是你看他这样做
[54:43] 他注意到了什么
[54:45] 得到了什么结果你适当的去做一个不严格的可解释性
[54:50] 然后写一个prompt
[54:52] 这个是我自己自己自己做的
[54:54] 后面肯定也会有
[54:55] 有很多的案例
[54:57] 然后关于上下文工程
[54:59] 我来讲一两个具体的案例
[55:02] 当然这不能算是AI耿耿同学了
[55:05] 这个比如说如果你们想要在上下文里面放下一篇论文
[55:11] 并且读它
[55:12] 我现在假装
[55:15] 假装我好
[55:20] 现在有一个PDF
[55:21] 我把它放到临时目录下
[55:24] 这样就这样
[55:25] 我的我的agents.md等
[55:26] 就不会不会污染它
[55:31] 假装的这是我自己的paper
[55:43] 看一眼
[55:45] 哎不要用这个
[55:50] promise好
[55:52] 这是这是我们最近的一个额论文的journal extension
[55:59] 诶我把他故意改成了匿名的匿名版本
[56:05] 不重要不重要
[56:07] 我来我来演示一下
[56:10] 如果如果你们想要来读这个论文
[56:14] 你们会怎么读
[56:18] 我想要读一读paper点PDF
[56:21] 帮我做个总结好
[56:24] 那这个一定是大家最常见的方式
[56:30] 那你们觉得这样读论文会有什么问题
[56:33] 根据刚才的这个推论
[56:36] 根据这个self attention就是我的每一个next token prediction的时候
[56:40] 他都有一个注意力
[56:41] 注意力会注意到这个之前的东西
[56:44] 是因为我的论文是一个非常逻辑自洽的东西
[56:49] 论文论论文已经我已经反复修改过了
[56:51] 假设它不是一个AI slop
[56:53] 因为他是一个非常逻辑自洽的东西
[56:56] 所以他在上下文里面的这个注意力的污染是极强的
[57:01] 他说A所以B所以C所以D所有都是这种扣起来的
[57:06] 然后扣起来以后
[57:06] 这个模型非常容易就哦接受了这个因为看起来正确
[57:10] 就是他会判断这些都是正确的
[57:12] 所以我下面要做什么
[57:15] 所以你基本上你们所有对论文的这个
[57:22] 论文的总结都是这个作者的观点，对
[57:26] 就你们去看
[57:27] 不管是这个不限于论文
[57:29] 就是你们任何一个你们不太明白的项目
[57:31] 你们想要读的教科书的某一章
[57:33] 就不管是你们想去学一个计算机系统基础里面的链接和加载
[57:37] 那个可能你在上课的时候没有完全看明白
[57:41] 它都是一样的
[57:42] 他注意力会被一个逻辑很强的东西给污染
[57:47] 然后你来来回回就是这个车轱辘话
[57:54] 然后这个基本上就是我们的论文里面原样写
[58:00] 要写的话
[58:00] 当然这也是总结
[58:01] 就总结这个。总结OK，好，总结
[58:06] 那如果换一个
[58:11] 啊不确定
[58:16] 对然后他会有一种就是AI模型
[58:22] 会有一种这种墙头草
[58:23] 然后你说它好
[58:24] 他马上就说他好
[58:25] 然后就说他不好
[58:26] 他马上就说它不好
[58:27] 然后来回摇摆
[58:30] 然后有的时候你就算是你想要纠正它
[58:34] 比如说
[58:40] 我可能不能完完全全信任作者
[58:43] 作者虽然大概率也是成熟的
[58:48] 也是诚实的
[58:50] 假设作者是诚实的，也有代码实现可以运行
[58:58] 我们都有artifact，都可以运行的
[59:00] 我们不是那种论文不开源的那种那种作者
[59:03] 还是想评估一下研究贡献
[59:09] 然后
[59:11] 然后你们会问这样的
[59:14] 会不断的问这样的提示词
[59:16] 然后你发现来回绕来绕去
[59:18] 绕来绕去
[59:19] AI可能会揪到一些
[59:20] 实验做的还可以再增加一点
[59:22] 这种——AI最喜欢的就是在这种不重要的点上面疯狂地发力
[59:27] 因为它可能只能看到它在干什么
[59:32] 为什么他开了chrome dev tools
[59:38] 啊不用不用不用不用
[59:42] 不要因
[59:48] 当然，对于实际如果真的用ChatGPT去读的话
[59:53] 那肯定还是最好是做一个交叉的验证
[59:57] 那么你们觉得怎么样来抵抗AI的这种
[60:04] 就是或者说一个已有的东西对上下文的污染
[60:08] 你们觉得我自己的
[60:11] 这既然这是我自己的个人经验
[60:13] 我希望的是，我想要把AI和我（人）——
[60:16] 就是和我
[60:19] 比如说我有一个对象
[60:22] 这个对象可能是一篇论文
[60:25] 那这个论文我希望的是AI和我能够对齐
[60:31] 就是它能够站在我的立场上去理解这个paper
[60:37] 而不是站在他的立场上去
[60:40] 去理解这个paper
[60:42] 所以你看它就开始去看这个SOTA
[60:46] 这个东西是不是对的
[60:47] 这还用看吗
[60:48] 我写这个paper会糊一个不存在的例子吗
[60:52] 我一个不存在的例子去那个嘛不不可
[60:57] 就你很明显它就跑偏了
[61:01] 所以一般来说我会这样提示它
[61:04] 就如果我读一篇paper或者如果允许我用AI来审稿的话
[61:09] 我会这样
[61:12] 我说应该这样
[61:15] 我们站在人类已知的
[61:22] 已知的知识边界
[61:28] 看这个问题
[61:29] 这不是一个完全老的问题
[61:34] 相关的东西是什么
[61:38] 我先要问它：相关——就是人类历史上相关的已经解决的东西
[61:42] 东西是什么
[61:43] 解决到什么程度
[61:45] 然后这个工作试图解决哪些不一样增量的问题
[61:53] 这是一个非常好的grounding
[61:55] 就说我先要让它和我站在一个平齐的位置上
[62:02] 先达成共识
[62:03] 然后同样的，你们——我review paper的时候
[62:07] 我会这样写prompt
[62:08] 对你们来说
[62:09] 你们需要对齐的是AI和你
[62:12] 因为你们是学生
[62:13] 你们比如说计算机系统基础这个课你还不了解
[62:16] 那你会说好
[62:17] 我计算机系统基础我学到什么程度了
[62:20] 我的编程水平是什么
[62:21] 这也可能是你就要维护一个数据库或者一个memory一样的东西
[62:24] agents.md你要告诉AI你学到什么程度了
[62:28] 然后从这个基础上
[62:30] 你让他把用你学过的知识去把这个东西全部refresh一下
[62:39] 然后你看它是墙头草
[62:43] 然后好他就可以开始找到一些
[62:49] 已有工作的边界
[62:52] 那这些都是非常重要的
[62:54] 相关工作也是我们非常熟知的
[62:57] 熟知的
[62:58] 相关工作
[63:01] 然后比如说我再比如说软件的
[63:05] 因为我们做了一个软件状态的可视化。好，
[63:09] 那这是这个问题
[63:12] paper要解决的
[63:14] 就比如说你们会回到链接和加载
[63:17] 你们知道为什么
[63:18] 你们可以问它：为什么我们需要链接？从你已有的知识——
[63:22] 已有的知识在你的已有的概念里面
[63:24] 我有一个.cpp
[63:26] 然后我有一个程序可以把它变成.exe
[63:29] 这不就结束了吗
[63:31] 啊这不就结了
[63:33] 然后你就回到你和AI能够对齐的一个知识点上
[63:38] 比如说我说这个软件可视化是这篇paper要解决的
[63:43] 那为什么说现在的工作都有一个无法实际使用的痛点
[63:55] 这个文章可能只
[64:04] 怎么能往前
[64:13] 然后如果你觉得这个步子迈得太大
[64:15] 比如说如果像GPT-5.6
[64:17] 如果我用一个一线模型去读paper的话
[64:19] 它基本上就能够把相关的知识整理得足够好
[64:22] flash可能我还不会特别地信任它
[64:24] 但就你看到在你合适的上下文工程下
[64:31] 你确实可以大幅提高AI和你协作的这个对齐的程度
[64:36] 它不再是自说自话
[64:38] 你一定要把你的知识喂给它
[64:41] 然后接下来我们就相当于是想让AI去做什么
[64:46] 就做一步推理
[64:49] 就一步推理
