[00:00] 我干了什么呢?这是我的Neovim,对吧?
[27:10] 但是到今年我上操系統課的時候
[27:12] 這個agent就非常非常能用了
[27:14] 到現在你看到agent產品爆發
[27:16] 到處鋪天蓋地
[27:17] 都是walkbody的廣告
[27:19] 對吧
[27:20] 像walkbody豆包的agent就是
[27:23] 這樣的react類型的agent
[27:28] 但這其實也
[27:29] 就你們這個好像差開了
[27:32] 差開了這個話題了
[27:35] 這個故事其實遠遠沒有結束
[27:38] 今天你們已經感受到agent非常巧
[27:40] 但是
[27:42] 我認為agent的能力還遠遠沒有
[27:45] 被釋放出來
[27:47] 我們next token prediction
[27:50] 其實是一個
[27:52] 我覺得是一個效率很低的模型
[27:54] 比如說
[27:55] 這裡有一個
[27:57] diffusion model
[27:59] 一個diffusion model
[28:00] 比如說我可以說
[28:02] AIS log normal
[28:08] 我可以讓它給我寫一個什麼樣的AIS log
[28:11] 你看它的過程
[28:15] 你看它是一個
[28:16] 從一個隨機的噪聲開始
[28:18] 就像Diffuse那個圖片一樣
[28:20] 一點一點一點一點
[28:23] 就生成了一個很長的東西
[28:25] 它可以生成一個很長的東西
[28:26] 就像人做夢一樣
[28:27] 你在你的夢境當中
[28:28] 一點一點把一個東西想得
[28:30] 看得越來越清楚越來越清楚
[28:33] 我們有很多
[28:37] 我們有很多未來的可能性
[28:40] 這種diffusion類型的語言模型
[28:43] 甚至是
[28:44] 我不是predict next token
[28:47] 我可以把上下文回過去改
[28:49] 隨時可以把很長的上下文裁短
[28:52] 這些都是今天
[28:54] 很多人在研究的東西
[28:58] 現在的模型已經非常巧了
[29:00] 如果我們三個月以後
[29:02] 又有一個新的突破
[29:04] 模型變得更強了
[29:05] 一年以後模型又突破了
[29:07] 又變得更強了
[29:08] 整個AI的research
[29:11] 大家都在賭這件事情要發生
[29:13] 摩爾定律還在
[29:15] 我現在很難想
[29:17] 未來會變成什麼
[29:19] 我不能預測未來
[29:20] 到底哪一條路線會勝出
[29:23] 是哪一種模型會勝出
[29:25] 但是你可以預見的是
[29:27] 這個世界肯定會變得
[29:29] 非常的不一樣
[29:31] 那在這個世界上
[29:33] 我們應該怎麼辦
[29:36] 是每一個同學我覺得都值得
[29:38] 好好考慮一下的問題
[29:44] 嚇唬人的事情說完了
[29:46] 我們可以吸一口氣
[29:48] 我可以真的告訴大家
[29:52] 應該怎麼樣
[29:55] 怎麼樣來
[29:57] 實際操作我們的agent
[30:00] 對吧
[30:01] 這還是這門課主要講的
[30:03] 所以我首先站在普通人的視角
[30:06] 來給大家科普一下
[30:08] 我現在假設大家其實不會用agent
[30:11] 不太會用agent
[30:12] 除了什麼
[30:13] 幫我把這個作業做了以外
[30:14] 從我上個學期看
[30:16] 改大家那個期末考試題的感覺
[30:18] 好像就是
[30:19] 因為我期末考試題最後考了一個
[30:21] 如果你要用agent
[30:23] 給我的課期末考試出一個卷子
[30:26] 應該怎麼辦
[30:28] 我發現大家用agent的方式
[30:31] 可能需要我來稍微解鎖一下
[30:34] 也可以跟大家一起探討
[30:35] 如果大家有特別好的想法
[30:37] 就可以隨時打斷我來說
[30:41] 首先
[30:42] agent
[30:43] 作為AI native的一代人
[30:46] 你們要知道
[30:47] 就是給他一個合適的指令
[30:50] 他就可以把這個指令完成
[30:55] 我在課上選的是
[30:57] 派
[31:00] 你只要跟他說就可以了
[31:03] 並且你可以寫一些配置文件
[31:05] 比如說agents.md
[31:10] 你可以問他你是誰
[31:12] 然後他還說
[31:13] 他是生成式軟件工程的教學輔助
[31:16] 你可以問他
[31:17] 你不就是個模型嗎
[31:19] 為什麼還知道生成式軟件工程
[31:25] 對吧
[31:26] 你可以自由任意的
[31:34] 他回答了
[31:35] 你看
[31:36] 他現在看到的是
[31:37] 之所以知道這門課這個倉庫
[31:40] agents.md的配置
[31:42] 這部分是零式的
[31:43] 所以
[31:44] 使用agent的第一個原則
[31:49] 現在就開始用了
[31:50] 第二個原則
[31:51] 隨時問他
[31:53] 這是最小的第一個原則
[31:57] 然後在這個以上
[31:59] 其實是你的想像力
[32:02] 限制了你的agent的上限
[32:06] 所以
[32:07] 正好一會客間的時候
[32:09] 大家可以想一想
[32:10] 你沒有agent做的
[32:11] 最酷的一件事情
[32:13] 是什麼
[32:15] 想像力是你們的上限
[32:17] 我的第一個例子是
[32:19] 我今天上課的這個系統
[32:22] 剛才我給大家展示了
[32:24] 我也說了
[32:25] 所有的配置安裝都是由AI完成的
[32:28] 我要在U盤上
[32:30] 這一直以來是我上操系統課的一個特色
[32:32] 我會帶一個U盤
[32:33] 然後這個U盤裡面裝一個Linux操系統
[32:35] 然後這個Linux操系統
[32:36] 可以直接插在教室的電腦然後就啟動
[32:38] 所以你看到我
[32:42] 你可以看到我
[32:43] 這是我的U盤
[32:45] 然後這是電腦的硬盤
[32:47] 我在有一年的操系統課上
[32:49] 把這個硬盤給抹掉了
[32:51] 然後抹掉以後
[32:52] 下一個上課老師就教學師傅了
[32:54] 這個
[32:56] 對
[32:57] 就教學師傅
[32:58] 然後為此我來展示操系統的原理
[33:03] 裝機是一個很痛苦的事情
[33:05] 我曾經是裝機仙人
[33:08] 這裡有個知乎鏈接
[33:10] 這個是Prier M的時代
[33:12] 你看2021年7月
[33:14] Prier M的時代
[33:15] 我各種定制
[33:17] 各種定制系統
[33:18] 裝機、裝機仙人
[33:21] 裝機仙人現在已經
[33:26] 徹底被
[33:28] 裝機仙人已經徹底被AI取代了
[33:31] 因為我只用了一句話
[33:34] 我說你去Mirror.NGU.EDU.CN上
[33:37] 找一個得辦13的鏡像
[33:39] 把它裝到我的U盤上
[33:41] 這時候U盤插在裡面
[33:42] 然後確保這個U盤可以啟動
[33:45] 然後用模擬期驗證
[33:47] 點睛之筆是用模擬期驗證
[33:51] 當然我是有腦袋
[33:54] 所以我知道它是怎麼完成這個安裝的
[33:56] 它裝完了
[33:58] 裝完了以後
[33:59] 它真的在QEmail裡面啟動
[34:01] 然後去看到的那個登錄介面
[34:04] 告訴我確實可以登錄了
[34:06] 它登錄成功了
[34:07] 我剛才我要創建一個用戶
[34:09] 用戶名是什麼
[34:10] 密碼是什麼
[34:12] 它全部都做好
[34:14] 驗證完成
[34:15] 給我
[34:17] 然後完了以後
[34:19] 我就啟動了這個USB的鏡像
[34:22] 啟動了以後
[34:23] 我說我要裝一個Tile-based的WindowManager
[34:27] 你看我現在操作是很順滑的
[34:30] 比如說我按Windows加回車
[34:32] 它就產生了一個新的窗口在右邊
[34:35] 和你們用窗口的方式不太一樣
[34:37] 當然我可以比如說Windows加空格
[34:39] 把它給你摸出來
[34:41] 不會用怎麼辦
[34:43] 你可能聽說過在某一個B站的直播間裡面
[34:48] 看到有一個同學他用的很酷的東西
[34:51] 不會用怎麼辦
[34:52] 我直接讓Deepseq V4 Flash
[34:54] 給我生成了一個文檔
[34:57] 說你能不能看一下我系統現在的設置裡面
[35:03] 我要做各種事情
[35:05] 怎麼辦
[35:06] 它告訴我Super加Enter是打開Terminal
[35:09] Super加D是打開一個App Launcher
[35:12] 所以比如說
[35:14] 比如說我Windows加D
[35:21] 我就可以打開一個OBS或者Chrome Browser
[35:25] 所有的文檔
[35:26] 包括你看到的中端NewWim的現代配置
[35:29] 我沒有看過任何一眼配置文件
[35:32] 所有的一切都是用自然元完成的
[35:34] 我只是讓它保交付
[35:37] 我要什麼你幫我再檢查一下
[35:39] 就全部都完成了
[35:41] 所以我覺得我畢生的修練
[35:43] 我作為一個教Commerce Science的老師
[35:48] 我記得我大四的時候
[35:50] 可能跟你們一樣大的時候
[35:51] 就在看Intel幾千頁的CPU的Specification
[35:55] 去看每一個CPU的Feature是幹什麼用的
[35:58] 然後我就突然覺得在這個時間點
[36:01] 有一個人他可以跟我溝通
[36:03] 他把這些東西全看了
[36:05] 都懂能做對
[36:07] 而我現在需要的是解鎖他的能力
[36:10] 所以你看到我們在今天
[36:12] 你學習知識的方式變了
[36:15] 你更多的時候你需要知道他能做什麼
[36:19] 你敢知道他能做什麼
[36:20] 能做到什麼程度
[36:21] 然後你帶著他去做一件更大的
[36:24] 他做不到的事情
[36:25] 所以人現在唯一的功能
[36:29] 就是帶著AI做AI現在做不到的事情
[36:32] 一旦如果你沒有這個能力
[36:35] 你就立即已經被淘汰了
[36:38] 所以你沒有Token
[36:39] 你沒有Token你就可以立即退運了
[36:41] 這是我自己的觀點
[36:44] 首先Agent徹底顛覆了計算機
[36:46] Commit Science裡面
[36:47] 學習曲線態度不想用的瓶頂
[36:49] 你想你們都配置過那個漂亮的終端吧
[36:51] 你們看那個終端花里胡哨的
[36:53] B站上面那些人用的花里胡哨的終端
[36:55] 你就想搞一個
[36:56] 搞一個以後你改一點點
[36:58] 他就給你出錯
[37:00] 改一個配置文件
[37:01] ZSHRC一改就出錯
[37:03] 一改就出錯
[37:04] 非常的痛苦
[37:07] 有Agent了一點也不痛苦
[37:09] 他不僅可以給你改
[37:10] 還能事無巨細地解釋為什麼要這樣改
[37:13] 你有什麼新的想法
[37:14] 一起他就說好好好
[37:15] 還給你情緒價值
[37:18] 我前幾天在小紅書上發一個解釋
[37:21] 為什麼Token比學生好用
[37:23] 是因為可以罵他
[37:24] 他不會還嘴
[37:26] 就是因為我
[37:27] 我肯定不能罵學生
[37:28] 但是我可以罵這個Agent
[37:32] 所以誰掌握了AI Agent
[37:35] 誰就掌握了暴增的學習效率
[37:37] 你現在的學習方式你先用好
[37:40] 先把東西搞出來
[37:42] 再回頭去復盤理解
[37:44] 這個效率會比你從零開始
[37:46] 一點一點大進步要高很多
[37:48] 但這裡面有危險
[37:49] 你的理解可能和那個比較好的理解
[37:51] 會有差距
[37:53] 微懂的我們不知道
[37:54] 但是這是一個非常不一樣的事情
[38:01] 第二個
[38:03] 收發郵件寫草稿
[38:05] 我有一個自己的skill
[38:07] 但是我就不展示了
[38:09] 它
[38:11] 我的數據庫裡面
[38:12] 有我歷史上回過的所有的郵件
[38:15] 所以每當我收到一封郵件的時候
[38:17] 它會自動把它變成一個已讀的狀態
[38:19] 然後自動幫我寫好回覆的草稿
[38:22] 用我的口吻
[38:23] 雖然我現在覺得它做得還不夠好
[38:26] 除了一些簡單的
[38:27] 可以直接用它的回覆
[38:29] 大部分時候我還得去改
[38:33] 但是我得到了AI的bot
[38:36] 然後
[38:37] 它會把重要的
[38:38] 比如說郵件裡面的附件
[38:41] 比如說
[38:42] 如果我收到一張發票
[38:45] 它就會把我的發票自動
[38:48] 保存到一個指定的歸檔的位置
[38:50] 當然這都是我寫好的instructions
[38:52] 我可以概念什麼事
[38:54] 我可以像跟你們的Open Cloud
[38:56] 或者Hermes一樣
[38:58] 但我用的是我自己Apple的reminders
[39:00] 我可以找到我的手機
[39:02] 在我的備忘錄裡加一個說
[39:04] 幫我把今天的發票打印出來
[39:08] 我覺得我現在就可以做幾件事
[39:11] 也就是浪費一張打印機的紙
[39:16] 我在一個叫bot的
[39:18] 你看現在是空的
[39:19] 我在這個bot的地方加一個
[39:22] 把我收到的上一個發票打印出來
[39:28] 我只要點勾它就commit
[39:33] 我就多了一個to do的事項
[39:35] 就跟你們在Telegram
[39:36] 跟你的bot聊天是一樣的
[39:38] 然後只要等就行了
[39:39] 它在後台會處理
[39:41] 等到弄好了以後
[39:42] 它會重新給我一個推送的通知
[39:46] 這個通知會通過我的手錶
[39:48] 送到我的
[39:49] 通過reminder
[39:50] 然後送到我的手錶上
[39:51] 我的手錶會知道
[39:52] 它會告訴我可以打一碼
[39:53] 然後我所有的日常的事物
[39:55] 都可以交給它來處理
[39:57] 前期是我放心的事情
[40:03] 我覺得是比Telegram聊天方樣好
[40:05] 而且這個流程會不斷的進步
[40:07] 在open cloud之前我就這樣
[40:10] 然後在open cloud
[40:12] 我覺得open cloud或者ermis
[40:14] 不是個人agent產品的
[40:18] 個人agent產品的中級型態
[40:21] 這個產品還可以做得更好
[40:22] 所以未來還有很多的空間
[40:26] 還有
[40:30] 你們還在讀書嗎
[40:33] 你們還看書嗎
[40:35] 看
[40:36] 你們還看論文嗎
[40:37] 看
[40:38] 看論文痛苦嗎
[40:40] 痛苦
[40:41] 痛苦嗎
[40:42] 不痛苦
[40:44] 大家在笑
[40:46] 我是一個很喜歡看書的人
[40:48] 我在你們這麼大的時候
[40:50] 每年都教科書就要看幾十本
[40:52] 還會看很多閒說
[40:53] 那我今天已經不看書了
[40:57] 我現在已經不看書了
[41:01] 但是我還是買了一本
[41:02] 因為我要上生存式軟件工程的課
[41:05] 所以我又買了一些
[41:06] 我帶了幾本來
[41:08] 這都是我讀書的時候
[41:09] 就仔細看過
[41:10] 甚至看過不止一遍的一遍的書
[41:12] 這個是
[41:16] Frat Brooks的Mythical Mad Monks
[41:19] 人樂神話
[41:20] 這個標題起得非常misleading
[41:22] 首先什麼是人樂
[41:24] 你們想到的是
[41:25] 就你想到是那個人和月亮嗎
[41:27] 就是每到月亮出來的時候
[41:29] 就會變成狼的人嗎
[41:30] 這 joke
[41:34] Mad Monks
[41:35] 這是一個
[41:36] Mad Monks就很好理解的
[41:37] 就是當人力
[41:39] 人力神話
[41:40] 然後這神話也不對
[41:41] 神話
[41:42] 你們想到神話是什麼
[41:43] 什麼盤古開天地
[41:44] 是有這種美好的這種
[41:46] 這種神話
[41:48] 這個書應該叫人樂鬼話
[41:50] 人樂是一個
[41:52] 這是一個鬼話
[41:54] Mythical Mad Monks
[41:56] 還有一些像這個
[42:01] 對
[42:02] John Ostrop的
[42:03] The Philosopher of Software Design
[42:05] 這個書非常的緊湊
[42:07] 感覺比我當年看的英文版要緊湊一些
[42:10] 裡面有很多軟件工程的
[42:12] 真正的軟件工程的智慧
[42:14] 非常好
[42:16] 然後我就讀了
[42:18] 我又重溫了一下
[42:20] 當年讀書的感覺
[42:22] 讀了第一章
[42:23] 然後我讀完了第一章以後
[42:25] Agent啟動
[42:28] 我會怎麼樣讀書
[42:30] 對吧
[42:31] 我會怎麼樣讀書
[42:33] 我比GPT-5.6所有的
[42:35] 做得要更好一點
[42:38] 大概
[42:40] 在這個skill裡的這個部分
[42:42] 當然我的
[42:43] 我的那個AI梗同學會比
[42:45] 會比他更強一點
[42:47] 會比他更harsh一些
[42:51] 我在這裡為了
[42:52] 為了做每一頁slides
[42:53] 我都會讓GPT-5.6
[42:55] 首先
[42:56] 去回看人類的歷史
[42:59] 人類歷史和我這些相關的這些案例裡面
[43:01] 有沒有一些lessons
[43:03] 一些重要的案例
[43:05] 能夠得到啟發和印證的
[43:07] 第二個
[43:09] 根據我的這個
[43:11] 講的這個東西
[43:14] 能不能找一些相關工作
[43:18] 不僅是在computer science裡
[43:20] 然後我會讓他prefer這些
[43:21] by recognize high impact
[43:22] 的results
[43:23] 當然這是因為是我要上課
[43:24] 所以我會希望跟大家講
[43:26] 這個經典的東西
[43:27] 還有一個比如說
[43:28] thinking first principle
[43:29] 在我的AI梗同學裡面
[43:31] 我有更多的這樣的personality
[43:33] 然後還有隨機性會抽卡
[43:34] 然後抽完了以後他們會討論
[43:36] 他們會有分歧的觀點
[43:37] 討論以後我的主Agent會
[43:39] 再把這個分歧的觀點
[43:40] 再送給他們回來討論
[43:42] 直到收斂為止
[43:43] 所以我有一個
[43:44] 算力換智力的路
[43:46] 然後這樣我就可以去審稿
[43:48] 那些論文
[43:49] 我會明確的要知道
[43:51] 我大概是這樣讀的
[43:52] 如果我要review一篇論文
[43:54] 或讀一篇論文
[43:55] 我會說
[43:57] 你從人類已有的知識開始
[43:59] 假設人類已有的所有的東西
[44:01] 都已經是固定下來的
[44:02] 都是trivial的
[44:03] 都不能說trivial
[44:04] 就是說都是已知的
[44:06] 然後我要把這篇論文裡面
[44:08] 新的東西
[44:09] 最少的東西
[44:11] 給剝離出來
[44:13] 然後這個時候一篇
[44:14] 12頁的論文
[44:15] 基本上就沒有剩下多少了
[44:16] 就會變得非常非常短
[44:18] 所以我現在讀論文的效率
[44:19] 非常高
[44:21] 而且我會跟他chat
[44:23] 我會拿著論文的原文
[44:24] 拿著這個總結
[44:25] 拿著分層次的總結
[44:26] 我跟他chat
[44:27] 所以我現在讀一篇論文的效率
[44:28] 會比我以前高得多
[44:30] 我仍然是讀論文的
[44:31] 所以我不是那種
[44:33] 只看微信公眾號的老鄧
[44:35] 我現在claim我不是
[44:36] 我不是看微信公眾號學習的那種
[44:38] 我的發票已經打印好了
[44:42] 看到我收到一條通知
[44:45] 叫發票一打印
[44:47] 然後我只要回去到那個打印機上
[44:49] 就拿著就可以了
[44:51] 所以他可以幹任何事
[44:52] 我那台電腦能幹的事情
[44:54] 所有的都能幹
[44:55] 我很想
[44:56] 如果我有時間的話
[44:58] 如果我大學倒閉了
[45:00] 我就弄一個機械手
[45:01] 讓他能夠做更多的事情
[45:03] 我現在還做不到
[45:05] 但他可以操作我的打印機
[45:08] OK
[45:10] AI梗同學在這裡
[45:13] 然後
[45:15] 我不僅用AI讀書讀論文
[45:19] 我還用AI上B站
[45:22] 那當然這個剝奪了你們娛樂的
[45:24] 如果你是要娛樂
[45:25] 看一個什麼滑翔板瓜的
[45:27] 這個衍生視頻
[45:28] 那就不要用AI讀了
[45:31] 我是怎麼讀的
[45:35] 我可以
[45:37] 就一個BVID
[45:38] 給我一個BVID
[45:39] 比如說這是我上學期的課程
[45:42] 給一個BVID
[45:43] 一個小時27分鐘
[45:45] 一般來說我會讀什麼
[45:46] 就讀這個Podcast
[45:47] 比如說這個MATPOC
[45:49] 又發了一個什麼
[45:50] 他的什麼軟電工程實踐
[45:52] 其實我覺得他也挺神棍的
[45:54] 有些經驗可能不完全適合我們的課程
[45:59] 然後我會把它總結成一個
[46:01] 自動的圖文的實踐軸
[46:05] 然後你看這是整理過的
[46:07] 這個文本的質量還是可以的
[46:09] 比字幕的質量要高一些
[46:13] 這就是全文
[46:15] 這個圖文版的圖片會稍微少一些
[46:18] 實際上我的截圖的密度會更大一些
[46:20] 當我兩幀圖片之間的間隔
[46:23] 大到一定程度的時候
[46:24] 我就會截圖
[46:25] 我就得到了這個視頻所的Ground Truths
[46:28] 這個時候
[46:29] AI梗同學就可以上線了
[46:32] AI梗同學會去
[46:34] AI梗同學會去消化
[46:37] 會為我消化這一個
[46:39] 一個多小時的視頻
[46:42] 因為它有我的記憶
[46:44] 把我認為不需要看
[46:46] 就Trivial的東西
[46:47] 比如說這裡面所有東西
[46:48] 都是我非常清楚的東西
[46:50] 那麼我就不需要看它
[46:52] 那麼去掉
[46:55] 我就可以在幾分鐘的時間裡面
[46:57] 看完一個兩個小時的視頻
[46:59] 而且我基本上確信
[47:01] 我還是很好的知道了那裡面不一樣的東西
[47:05] 所以這是一個非常可怕的事情
[47:07] 在AI agent的時代
[47:09] 會用agent學習的人
[47:11] 和不會用agent學習的人
[47:13] 他學習的效率差距是10倍100倍
[47:16] 那麼你們坐在這
[47:18] 你們怎麼和一個10倍100倍的
[47:22] 怎麼和一個10倍100倍的人競爭
[47:25] 對吧
[47:26] 你就回到我一開始的那個問題
[47:28] 那個簡歷
[47:29] 那個簡歷
[47:30] 如果所有人的簡歷都是一樣的
[47:32] 那你接下來會想
[47:34] 那個沒有給你看到的那個
[47:36] 學習效率是你100倍的人
[47:38] 他的簡歷是長什麼樣的
[47:40] 對吧
[47:41] 這是一個非常可怕的事情
[47:45] 而更可怕的還在下一節課
[47:47] 所以我們課前休息一會
[47:49] 你們可以想一想
[47:51] 因為我還沒有公開這個課
[47:53] 我下面的內容
[47:54] 還要給大家留一點驚喜
[47:56] 下一節課
[47:58] 我再來講更可怕的
[48:00] 比剛才更可怕的
[48:02] 所以為什麼我要說大學完了
[48:04] 人類完了
[48:05] 你們總覺得我神鬼
[48:08] 但我就是這樣想的
[48:11] 而且我非常確信的是
[48:12] 世界上肯定有人做得比我更好
[48:15] 對吧
[48:16] 因為我是一個上上下下的人
[48:18] 我沒辦法
[48:19] 我就是沒辦法
[48:20] 我上上下下
[48:21] 比如說我上學期
[48:22] 我為了上操系統課
[48:23] 我就花了很多的時間
[48:25] 那些時間本來
[48:26] 如果我
[48:27] 我上這個課
[48:28] 我就可以用來探索那個
[48:29] 我應該就不能這麼搞了
[48:34] 我們回來
[48:35] 剛才有一個非常好的案例
[48:38] 在直播的時候
[48:39] 我的USB的攝像頭卡
[48:41] 教室裡面大概是這樣的
[48:42] 它有一個採集卡
[48:44] 然後那個視頻的採集卡
[48:45] 可能是從網絡或者什麼
[48:47] 因為這邊還有好幾台機器
[48:49] 我不知道為什麼
[48:51] 學校裡面用了一個成本
[48:52] 那麼大的方案
[48:53] 我覺得我可能用500到1000塊
[48:55] 應該就能解決整個問題了
[48:59] 然後它有一個採集卡進來
[49:01] 但是那個採集卡的USB斷開了
[49:03] 所以大家看到現在我用左邊
[49:05] 我揮揮手
[49:06] 它是在動的
[49:07] 但是USB就斷掉了
[49:11] 不知道為什麼斷掉了
[49:13] 然後斷掉了以後
[49:14] 我剛才就立即讓agent
[49:17] 修了一下
[49:19] 對吧
[49:21] 剛才我是讓agent幫我修的
[49:26] 我直接
[49:29] 就是一個prompt
[49:31] 在這裡
[49:36] 他說我先看系統的USB設備的情況
[49:39] 找出設備
[49:41] 對 這裡
[49:43] 說我的USB有問題
[49:45] 能不能reconnect
[49:47] 這是deepseq v4 flash
[49:50] 它用你們前所未見的Linux命令
[49:55] 有些其實我有概念
[49:57] 但是我也不知道
[49:58] 它具體是怎麼工作的
[50:00] 就是它用軟件的方式
[50:04] 把那個USB的採集卡拔出來
[50:06] 又插進去了
[50:07] 因為我是碰不到那個接口
[50:09] 那個接口在機器的後面
[50:10] 我碰不到
[50:12] 然後它幫我拔了一下
[50:13] 插了一下
[50:14] 然後就好了
[50:17] 現在這個視頻還是沒有問題的
[50:21] 如果視頻再有問題的話
[50:22] 就請大家打斷我
[50:24] 我再來重置一下
[50:28] 我剛才說了
[50:29] 還不是AI的真正的型態
[50:32] 作為普通人
[50:33] 剛才我給大家展示的
[50:35] 是一個白板的派
[50:37] 什麼也沒有
[50:38] 你在那個派的那個官方網站上
[50:40] 把它安裝下來
[50:41] 你配置一個deepseq v4 flash API key
[50:44] 你立即就可以得到剛才所有的那些東西
[50:48] 多麼可怕的一件事
[50:50] 但是agent遠不止於此
[50:53] agent用一個完整的生態系統
[50:55] 所以當你有一個領域特定的任務的時候
[51:01] 根據計算機科學的定律
[51:03] 我上課的時候一直會說
[51:04] 這個Computer Science的定律
[51:06] 如果有一件事情它是合理的
[51:08] 並且你想做
[51:09] 那麼100%一定也有別人會想做
[51:12] 那在這個pre-AI的時代
[51:15] 開源社區多多少少就會來公開一些腳本
[51:21] 我今天又發布了一個新的腳本
[51:22] 可以幹這件事
[51:23] 到GitHub上
[51:24] 你把它拉下來可以做自己的事
[51:26] 在AI時代
[51:27] 做這件事情
[51:28] 附用別人的能力
[51:30] 變得前所未有的輕鬆
[51:33] 我可以往skillhub上面發一個skill
[51:36] 然後你可以在派的插件生態上面找到一個插件生態
[51:41] 所以你們想到應該下一步
[51:44] 做一個普通人
[51:46] 你應該做什麼
[51:48] 應該用插件把瀏覽器管封起來
[51:54] 應該用插件把電腦管封起來
[51:57] 瀏覽器是一個非常好的工程產品
[52:01] 我們用的是Chrome
[52:04] 瀏覽器是一個非常好的工程產品
[52:06] 它可以說是人類軟件工程史上的奇跡之一
[52:12] 非常的複雜
[52:13] 看起來就是一個瀏覽器
[52:14] 顯示網頁的
[52:15] 它的代碼量甚至遠超操作系統內核
[52:18] 因為它要和用戶打交道
[52:20] 它有大量的比如說圖形站
[52:22] 還有顯示相關的東西
[52:25] 性能優化等
[52:28] 而瀏覽器是為開發
[52:30] 就是一個軟件工程奇跡
[52:32] 所以它是
[52:33] 有一個接口是專為開發者設計的
[52:36] 叫Chrome DevTools
[52:38] 你們應該是用過的
[52:40] 比如說你們打開Chromium
[52:43] 然後你們按F12
[52:48] 我把它
[52:53] 你們都改過
[52:55] 比如說你很討厭這個東西
[52:58] 你很討厭
[53:00] 其實是有點討厭
[53:02] 討厭就刪了
[53:04] 沒有了
[53:07] 當然你這裡是可以調適它的
[53:10] 所以一般來說
[53:12] 網站都會在
[53:14] Console上面嵌入招聘廣告
[53:20] 同學們應該也是發現過的吧
[53:24] 比如說你們上B站然後F12
[53:29] 它沒有招聘廣告的嗎
[53:30] 我記得B站也是有的
[53:33] 在這裡你可以看到很多的信息
[53:36] 比如說你可以找到這裡面的HTP的頭
[53:41] 然後你可以把這個鏈接的
[53:43] 比如說這個鏈接Copy
[53:45] 可以把它的命令給Copy出來
[53:47] 這樣你就可以在瀏覽器裡
[53:49] 帶著它的瀏覽器的
[53:51] 帶著這個Cookie
[53:52] 帶著所有的狀態
[53:53] 用Q2這個命令去請求
[53:56] 這樣你就可以得到列表
[53:58] 這都是以前在
[54:00] 在Pre-ARM時代開發者
[54:02] 做的事情
[54:03] 但是在ARM時代變了
[54:07] 普通人
[54:09] 也可以享受到Chrome DevTools的
[54:11] 所有的厲害的地方
[54:13] 我記得我們在2020年的時候
[54:15] 我們做過一個非常瘋狂的Projects
[54:17] 大家都知道Android的應用
[54:20] 是可以用Java寫的
[54:21] 我們假設是一個Java的應用
[54:23] 然後Java或者Coding
[54:25] 都變異到Java虛擬機
[54:27] 然後我們就可以在OpenJDK上運行
[54:29] 一個Android App
[54:30] 然後這個運行Android App的時候
[54:32] 會把所有的介面上面的按鈕
[54:33] 比如說這個按鈕的Bundle Box
[54:35] 就是它的座標都算出來
[54:37] 然後上面的文本也知道
[54:39] 我不走Android都得操渲染
[54:41] 我直接在瀏覽器裡面
[54:43] 你可以在Chrome裡面
[54:45] 你在Chrome裡面可以看到一個計算器
[54:47] 然後那個計算器裡面每一個按鈕都在
[54:49] 上面的字也是對的
[54:50] 然後你可以點
[54:51] 點了以後那個計算器的狀態就變了
[54:52] 我可以在本機執行一個Android App
[54:55] 所以這是一個非常非常Powerful的工具
[54:58] 但我今天不講這個
[55:00] 讓我們來幹一件什麼事
[55:02] 你們都討厭Java系統吧
[55:07] 我也很討厭
[55:08] 這個我一會兒會講的
[55:10] 當我講到軟件工程的時候
[55:13] 我還會特別講
[55:14] 講到這個Java系統是一個軟件工程的
[55:17] 非常反面的例子
[55:24] 我的手機
[55:25] 讓我掃個碼
[55:30] 你們不要掃
[55:41] 應該不會暴動一次
[55:43] 希望不要暴動一次
[55:44] 我可以稍微放大一點
[55:47] 比如說我現在的教學周力是空的
[55:53] 現在你看
[55:54] 其實我剛才在派裡面說
[55:56] 幫我打開了瀏覽器
[55:58] 這個瀏覽器是屬於派的
[56:00] 所以你們可以幹什麼
[56:02] 比如說我很討厭動不動
[56:04] 叫我們填東西
[56:05] 所以我說
[56:11] 這時候你看豆包輸入法的殘留量又提升了
[56:14] 我在做這些日常任務的時候
[56:18] 我就會
[56:19] 按一個鍵然後打開豆包輸入法
[56:21] 和他對話
[56:22] 當然在這裡
[56:23] 我的Links沒有豆包輸入法
[56:25] 而且我好像沒有配置這個
[56:27] 比如說
[56:28] 它的聲音輸入可能會有點麻煩
[56:32] 填寫
[56:33] 現在教學周力是空的
[56:37] 幫我用隨便什麼AI Slop填寫
[56:44] 不要看任何東西
[56:46] 因為他如果知道這門課
[56:52] 就現在的目錄是這門課的
[56:54] Repo的話
[56:55] 他居然會讀我的什麼Lecture Notes
[56:56] 我不要
[56:58] 你看他還在幹這個事
[57:00] 對吧
[57:13] 我就是想讓他去填AI Slop
[57:16] 你看
[57:25] 他就是不聽指令
[57:26] 這是dcv4flash的麻煩
[57:28] 如果是Flex
[57:29] 他會知道
[57:31] 這就是dcv4flash的問題
[57:43] 他不看
[57:49] 翻車也是經常有的
[57:52] 所以
[57:53] 就是模型其實還在不斷的能力增長中
[57:56] 如果我用最一線的模型
[57:58] 他就會追求的更好
[58:01] 我用Flash還有一個原因
[58:03] 就是他在課上會更快
[58:07] 在課上會更快
[58:08] 所以
