[00:00] 我们上周讲了一点版本管理
[28:59] 它是和git底层完全兼容的
[29:02] 你可以直接把当git用
[29:05] 然后但是在它增加了
[29:07] 增加了一个叫做change的概念
[29:10] 也就是每一个这个东西
[29:13] 每一个这样的东西change
[29:18] 他都可以sin一个这个一个change
[29:22] 然后他可以把好多的change
[29:26] 比如REBASE的时候
[29:27] 他会把change直接把change搬过来
[29:29] 然后change还是有可能就冲突是冲突是解决不了的
[29:33] 就如果我在REBASE的时候
[29:34] 我要我要冲冲突
[29:36] 这是解决不了的
[29:37] 但是因为它有这个change的object
[29:39] 就change这个概念
[29:40] 所以他可以把这些change值一路带下来
[29:43] 生成一个直接REBASE到这里
[29:45] 但是里面引入了好多冲突
[29:47] 就你他还是运用了git的那个冲突
[29:49] 冲突那个记录
[29:50] 但你看他的里面有一套自己的记录方式
[29:52] 把所有这些change的冲突也都塞进去
[29:56] 然后你可以在这里相当于把它们搬过来
[29:58] 然后在这里再resolve它的底层的模型没有变
[30:01] 但是你用起来会舒服很多
[30:05] 然后他有一个很好的特点
[30:08] 它不需要staging area
[30:10] 就是你在你在git里面
[30:16] 最讨厌的是什么
[30:18] 啊我上我上操讯课的时候会讲
[30:21] 会讲这个例子
[30:22] 最讨厌的是你现在有个工作区
[30:25] 你现在有个你现在有个repo
[30:27] 然后你现在改了
[30:28] 比如说你有一个hello点C
[30:30] 然后现在把它改了改改改改改到一半
[30:34] 然后这个时候项目还不能编译
[30:37] 也不能运行
[30:38] 测试也通不过
[30:38] 就你改到一半
[30:39] 突然导师给你打电话
[30:42] 哎呀我现在有一个很高很高优先级的项目
[30:46] 这个你就有个bug
[30:48] 马上客户就这个项目就要交不了差了
[30:50] 这个赶快把这个bug给我一分钟修了好
[30:53] 那你怎么办
[30:55] 你不应该commit
[30:57] 就是你需要你需要的是你
[31:00] 你现在把它加到你的这个index里
[31:01] 然后git stash
[31:02] 然后他会压栈压栈
[31:04] 然后这其实是一个比较讨厌的操作
[31:08] 因为你stash是一个东西
[31:10] stash是一个东西
[31:11] 然后stash一个东西
[31:12] 你去把原来那个bug开始修
[31:14] 你刚修了一半
[31:16] 你的导师又给你打电话
[31:18] 哎呀你这个bug别修了
[31:19] 这个我还有一个更优先级更高的bug
[31:21] 你去把它修了好
[31:23] 你这时候要再把它stash
[31:24] 然后那git stash是一个栈
[31:25] 然后它里面就会有好访问
[31:27] 好多好多个提交
[31:28] 然后你去你需要去管理那个那个stack
[31:32] 然后如果你想象
[31:36] 如如果你想象在任何时候
[31:38] 也就是你随时随地都在编辑这个repo
[31:41] 这不就是一个change吗
[31:45] 这就是一个change
[31:47] 你现在把hello点C改一改
[31:49] 加一行减一行
[31:51] 他都是change
[31:52] 所以你
[31:53] 所以这个jj他好像是在干一件什么事
[31:56] 好像是你但凡改了一个字节
[32:00] 他都会立即做一个git commit
[32:02] 当然这个commit不会产生这个好多
[32:05] 这个线性的历史
[32:06] 而是先把上一次的那个就上一次
[32:09] 那肯定得给抹掉
[32:11] 然后他上一次的commit就你改了一个字节
[32:14] 那上一次的那个提交就被抹掉了
[32:16] 抹掉了
[32:17] 然后你重新用当前这个修改去替代这个提交
[32:20] 也就是说你永远是把因为现在有个change
[32:25] 这现在有个当前的snapshot
[32:28] 它永远是提处于一个提交的状态
[32:30] 一个change提交的状态
[32:32] 那你就很舒服了
[32:33] 你
[32:34] 你连这个这个staging area也不需要了
[32:39] 这就是一个非常好的
[32:41] 它几个你从
[32:45] 你从我要把change作为first class citizen开始
[32:48] 你再往后推
[32:49] 你就可以发明自己的版版本管理系统
[32:52] 当然这个不是它的全部
[32:53] 然后它还有一些这个别的
[32:56] 有别的路线可以可以推导出来
[32:58] 但是你们适当的时候可以质疑一下
[33:02] 比如说git
[33:04] 就git有没有哪里做的不够好
[33:06] git哪里做的不够好
[33:07] 然后如果如果可以做的更好的话
[33:09] 还能做怎么样的设计
[33:12] 所以我觉得这是这是很有趣的
[33:13] 一些非常有趣的设计
[33:15] 你们可以在agent的带领下
[33:17] 或者说我开了一个头
[33:19] 我说我给你们一些motivation
[33:20] 你们可以把这些最重要的prompt交给agent
[33:24] 说我如果要学Jujutsu
[33:25] 然后我想我想我想从change开始理解
[33:29] 然后如果如果你看他的tutorial的话
[33:30] 他其实也是一上来就会告诉你
[33:32] 他没有没有staging
[33:35] area啊等
[33:37] 这样的
[33:38] 你管你管理这个版本是更自然
[33:40] 它对人类首先对人类更友好
[33:43] 然后实际上它可能会对agent也稍微更友好一点
[33:46] 友友好一点
[33:48] 对友好一点
[33:49] 所以这我觉得为什么你们作为AI native的人类
[33:52] 能够淘汰掉这个我们这一代人
[33:55] 就是因为我已经形成了git的肌肉记忆了
[33:58] 然后比我更老的一代人
[34:00] 他已经形成SVN的肌肉记忆了
[34:02] 然后当一旦人形成一个肌肉记忆以后
[34:05] 要把这个习惯掰过来就很困难了
[34:08] 就比如说我现在对git是有肌肉记忆的
[34:09] 但是我即便是能够理解这个jj的概念
[34:13] 甚至我可能理解的会比会比你们
[34:15] 可能作为初学者还要更更好一些
[34:18] 我还是可以从我的first principle去思考它
[34:21] 自己相当于virtually reimplement这个系统
[34:24] 但是我即便能够理解
[34:25] 我也没有足够的时间再去训练另外一个
[34:29] 肌肉记忆
[34:30] 所以所以你们你们是反过来的
[34:32] 你们这跟我正好是反过来的
[34:33] 你们应该在你们现在还没有形成记忆
[34:36] 有记忆的时候就直接去用那个对的东西
[34:39] 就人类历史都是积累的
[34:41] 他SVN大实际用不下去了才用才用git
[34:45] 然后git他发现了git的缺点以后有了jj
[34:49] 所以你们可以的是先用肌肉记忆
[34:53] 记住一个最正确的设计
[34:55] 然后再去理解这个设计是怎么样
[34:57] 就你再回去想的时候
[34:58] 原来git这么蠢
[35:00] 在git出现的时候
[35:01] 你大家会想
[35:02] git这么先进
[35:03] 它是一个persistent data structure
[35:05] 这是SVN就是SVN
[35:07] 从一开始他从走从纯纯DF那条线就走错了
[35:11] 到git的时候
[35:12] 大家觉得很先进
[35:12] 然后到到现在的时候
[35:13] 你再回去看的时候
[35:14] 原来git也犯了一个
[35:16] 犯了一些
[35:18] 设计上
[35:18] 它当然这是这是因为他最早的时候他没有
[35:22] 没有想过rebase会有这么大的Impact
[35:25] 他有merge就已经很好了
[35:28] 就能解决他手上的问题了
[35:30] 所以他可能没有把这个概念模型想的
[35:32] 想得更加更加的清楚
[35:34] 这个这是一些有意思的
[35:37] 这个
[35:38] 这个comments也是你们学习
[35:40] 可以告告诉你们一些学习的建议
[35:42] 你们在学东西的时候
[35:45] 其实尤其在AI的辅助下
[35:47] 可以不断的往前走往前走往前走
[35:50] 这是这个对好
[35:54] 但这门课不是软件工程
[35:57] 这门课是生成式软件工程
[35:59] 所以我们要真正要做的事是
[36:02] 在agent的时代再次重新设计版本管理管理系统
[36:06] 也就是说你当然可以让这个agent的去用git
[36:10] 然后让agent的去用jj
[36:11] 那啊这对人类来说
[36:14] jj是一个很大的进步
[36:16] 但对agent来说可能可能进步来说相对会小一些
[36:19] 因为他好像很会很会REBASE这些
[36:23] 那这个时候你看我们一路走过来
[36:27] SVN有局限
[36:28] git有局限
[36:30] 那在agent的时代
[36:33] 我们的局限和我们要做的破掉的改进是什么
[36:37] 刚才所有的这个version control system它都有一个假设
[36:42] 这个假设就是这version control system的使用者是人类人
[36:47] 人类有什么特点
[36:48] 人类是这个single-threaded的生物
[36:51] 我一直上上操作系统课的时候讲并发程序
[36:54] 然后并发程序我打什么
[36:55] 比方
[36:56] 你就把线程想象成是一个人
[36:58] 然后你的线程可以访问共享内存
[37:00] 那访问共享内存的时候
[37:02] 两个基本的操作是load和store
[37:04] 或者说read和write
[37:06] 我可以从一个变量里读一个值
[37:08] 我把X读到我的临时变量里
[37:10] 或者我可以写X等于一
[37:12] 然后这个操作是不能同时进行的
[37:15] 就是我不能说既读一个又写一个
[37:17] 你这样就需要一个原子指令了
[37:19] 然后绝大部分的这个share memory access
[37:21] 你能想象成人是什么
[37:22] 我如果想要观察这个世界
[37:24] 想要观察这个世界
[37:26] 那我对不起
[37:26] 我手要抱抱在抱在后面
[37:28] 我只能看
[37:29] 然后等我看完了
[37:30] 比如说我看到这个同学在这
[37:32] 我想要对他施加一个效果
[37:33] 比如说我想用这个粉笔导弹射击他
[37:36] 那当我想要真正要write就写一个变量的时候
[37:40] 我必须要把眼睛闭起来
[37:42] 而我把眼睛闭起来扔的时候
[37:45] 注意我读到的那个值其实已经失效了
[37:48] 那个值已经是旧的值
[37:49] 就是我上一个时刻读的
[37:51] 那在上一个时刻到这个时刻之间
[37:52] 可能经历了很多的事情
[37:54] 可能我被换CPU换下去了
[37:57] 我被中断打断了
[37:58] 然后换了另外一个线程上来执行
[38:00] 然后执行了
[38:01] 可能执行了一秒钟以后我才恢复过来
[38:04] 但我恢复过来以后
[38:05] 我看到的我在寄存器里面看到那个X值
[38:07] 我上次读X等于一
[38:08] 然后这个时候我就把那个粉笔扔出去了
[38:10] 那很有可能就扔的就是就是错的
[38:13] 就是single-threaded
[38:14] 然后当多线程的时候
[38:15] 带来带来这多线程共享内存
[38:17] 就带来了无穷的问题
[38:20] 其实人类也是的
[38:21] 人类
[38:21] 人和人之间是有这个无法逾越的物理屏障的
[38:27] 你不能理解我的思想
[38:28] 我也不能理解我的思想
[38:30] 我就是一个独立的个体
[38:32] 由分子
[38:33] 把我很强的连在一起
[38:37] OK所以我们只有一份IO设备
[38:39] 我们就一双一一双手
[38:41] 一张嘴
[38:41] 一对眼睛
[38:42] 然后那么我们我们在
[38:45] 比如说在编辑这个代码库的时候
[38:47] 以这种方式编辑代码库产生change
[38:50] 那就是以小时为单位的
[38:54] 小时为单位的
[38:55] 然后
[38:56] 一个软件公司可能比如说负责一个模块的开发
[39:00] 可能多也就十几个人
[39:01] 十几个人已经是一个不小的团队了
[39:03] 那十几个人每个人以小时为单位开发
[39:07] 那最多这个也就是以10分钟这样的
[39:11] 10分钟这样的单位产生一个提交
[39:16] 好那10分钟为单位产生一个提交
[39:20] 意味着这个速度会比人和人之间沟通的速度
[39:24] 要慢很多
[39:25] 因为尤其是一个team
[39:26] 他工位都在一起
[39:27] 你们你们研究生的工位都在一起
[39:29] 你马上
[39:30] 你再写
[39:31] 你要写一个东西要一两个小时
[39:33] 你在写之前你肯定跟师兄说一声
[39:35] 哎师兄我要干个这个行不行
[39:38] 十二十秒钟
[39:39] 30秒钟
[39:40] 师兄说行
[39:41] 你去你去改吧
[39:41] 我们现在不再改
[39:43] 或者你们你们如果去厂里面打工了
[39:46] 厂里面可能每天早上都要开会
[39:48] 每天早上的leader都会把任务分享出来
[39:51] 今天我们要干什么事情
[39:52] 然后你做什么
[39:53] 你做什么
[39:53] 你做什么
[39:54] 你就提前在
[39:55] 什么半小时的时间里
[39:57] 你就划分了一个scope
[39:59] 你就把这个项目切开了
[40:00] 你领了其中一部分走
[40:01] 然后你就去产生垂直
[40:03] 当然这是古法
[40:05] 古法编程
[40:06] 古法编程
[40:07] 那在古法编程的时代
[40:09] 你就看到比如说stash是一个合理的
[40:14] 是一个合理的设计
[40:15] 因为你不你我刚才说的那个情况
[40:18] 你导师给你打电话
[40:20] 导师给你打电话
[40:21] 这件事情是可能发生的
[40:23] 但是在你修到一半的时候
[40:26] 导师再给你打电话
[40:27] 这件事情是不太可能发生的
[40:29] 发生概率是很低的
[40:30] 绝大部分时候你的这个stash也就是stash stack
[40:34] 里面就一层
[40:34] 如果你有好多层
[40:35] 你管起来其实其实挺麻烦的对
[40:37] 还有一点麻烦
[40:38] 你还你就需要去rebase stash
[40:41] 所以你会你会尽可能的保证这个stash
[40:44] 不要太深
[40:45] 因为你可以拒绝一个工作
[40:46] 或者你会说我手上有一个更高优先级的工作
[40:48] 我现在对不起
[40:49] 我不能干这个事
[40:50] 然后等你干完了以后
[40:51] 你自己可以可以排一个开
[40:53] 排一个队列
[40:54] 所以git是给人用的
[40:56] 但是在agent的时代
[40:58] 这件事情变了
[41:02] 如果是一个agent team
[41:04] 单个agent
[41:05] 它首先生产这个AI slop的速度就远远快于人
[41:09] 它
[41:10] 它生成AI slop就以分钟级为单位
[41:12] 甚至更快
[41:13] 它有时候你让他fix一个东西
[41:15] 它在上下文是热的时候可能就极几十秒钟对
[41:19] 讲DeepSeek V4 Flash
[41:20] 他干活的时候就几秒钟就做了
[41:23] 那以秒级当agent工作时候
[41:26] 以秒即可以产生一个原子提交
[41:29] 并且你可以轻易的得到一个十倍100倍的agent
[41:33] team的时候
[41:34] git或者jj是这样的
[41:36] 他举起来是跟git兼容的
[41:38] 这样的一个为人设计的模型
[41:40] 就有点跟不上
[41:42] 确实是有一点
[41:45] 跟不上这个这个速度
[41:46] 就算是可能大型的项目
[41:48] 它有一些门控
[41:49] 就是你当我写完了以后
[41:51] 改完这个部分以后
[41:52] 他必须要经历一个测试的流水线
[41:53] 那这个测试可能本身就要运行几分钟
[41:56] 那可以放缓agent的提交的速度
[41:59] 但是毫无疑问的
[42:02] agent加速了这个软件开发的过程
[42:05] 那如果agent加速的软件开发的过程
[42:07] 我们应该怎么样为agent的设计这个版本管理的
[42:12] 系统
[42:14] 那首先我们可以让agent沿用人的模型
[42:18] 每个agent你就想
[42:20] 每个agent都有一个自己的开发计算机
[42:24] A这有个自己的开发计算机
[42:25] 那就你就把single-threaded的人类和agent
[42:29] 就做一个严格一一对应的类比
[42:31] 你就让它有一个独立的电脑
[42:33] 可能是个容器
[42:34] 然后你就把它放到什么git点NJU
[42:37] 点EDU点CN上
[42:38] 然后你就跟你就直接instruct agent
[42:40] 说好
[42:40] 我的这个remote仓库是在git的
[42:43] 你现在就是一个单人开发者
[42:45] 然后你现在可以从tmux里面收到命令
[42:50] 然后如果你收到命令就可以开干
[42:53] 所以这件事情其实是其实是非常容易实现的
[42:57] 比如说啊比如说fancy project
[43:02] 好U
[43:08] 我可以这样
[43:15] 嘶啊这样也可以
[43:23] 好我就直接让agent在开干
[43:26] 然后我现在就是就agent时代有点什么好
[43:32] 每个人都是领导
[43:34] 你就是这个领导好
[43:38] 工头
[43:38] 然后现在有两个tmux session
[43:44] 你可以想象就是
[43:45] 我实际在你们实际开发的时候
[43:48] 这两个tmux session都是位于两台不同的机器
[43:50] 或者不同的容器
[43:51] 他物理上隔离开的
[43:52] 他看不到
[43:52] 看不到世界上面其他其其他的人
[44:01] 还故故意用一个这个可能在中国现在还能用的
[44:04] 用的词
[44:05] Master
[44:06] 然后我现在就是就是master
[44:09] 好
[44:10] 哎你看你这个名字改过来了
[44:12] slave
[44:12] 好好
[44:15] 好我可以给他每一个都起一个派
[44:20] 哎好
[44:26] 啊coding agent好
[44:29] 那我可以让他干什么
[44:48] Okay
[44:49] It doesn't matter
[44:52] Uh
[44:58] 啊你看他们两个就开始工作了
[45:01] 开始工作了
[45:02] 好好他们
[45:06] 啊这个A
[45:15] 我让我让他
[45:16] 所以你看当AI agent变快的时候
[45:21] 这个好他开始写斯拉夫克的
[45:30] 当当AI开始变快的时候
[45:32] 你想一想
[45:36] 如果你的指挥发生一点点差错
[45:39] 或者哪怕甚就甚至指挥
[45:41] 就是就现在一个流行的paradigm
[45:43] 就是你有一个监工的agent
[45:45] 然后你有好多个这个subagent
[45:47] 有些比如说
[45:50] 比如说为了最大化模型的智力
[45:53] 防止AI生成你不想要的东西
[45:56] 你会放两个比较强的模型
[45:58] 比如说由这个codex来设计
[46:00] 然后让Claude来review
[46:02] 然后让他们互相打架
[46:03] 然后达成达成一致
[46:04] 你只要开两个tmux就行了
[46:06] 然后你的主座位呢就负责协调
[46:09] 就观看他们的输出和或者总结报告
[46:12] 然后往里面inject prompt
[46:14] 然后这个一个多agent就这样转起来了
[46:20] 然后我看一下这个repo status
[46:29] 哎然后你就发现
[46:31] 如果大家工作在同一个git仓库上
[46:34] 就会有一些麻烦
[46:36] 但如果他们工作在不同的repo上
[46:37] 就是完全完全可以的
[46:40] 他们可以合到
[46:41] 他们可以合去远端拉取别人的提交
[46:45] 然后冲突了
[46:46] 如果冲突了就会自己修复
[46:48] 然后在必要的时候
[46:49] 他甚至还可以给这个master agent
[46:52] 发消息
[46:53] 你们立即就可以构建出一个这样多agent的系统
[46:58] 那么相应的这个我们今天也有一些work around的
[47:02] 比如说git就有worktree这样的功能
[47:05] 所以所以你看我可以问他
[47:08] 我的老师说
[47:10] git worktree可以改进这样并行的啊工作方式
[47:15] 那么能为让这两个tmux sessions都工
[47:22] 都工作在worktree 上吗
[47:28] 提问其实是关键的
[47:30] 你们可以在各种信息
[47:32] 就你们甚至比如说你今天早上走到教室的时候
[47:35] 在看微信公众号
[47:37] 然后这个微信公众号上面说来也git worktree
[47:39] 或者他提了一个什么样的sandbox container
[47:42] 你就可以立即让agent来帮你帮你试一试
[47:46] 然后我来看一看他在做什么
[47:53] 诶这不是一个相对来说比较容易的任务吗
[47:57] OK他确实是在写
[48:00] 写脚本哎
[48:01] 你看他把pad退出来了
[48:05] 哦应该OK了
[48:24] 这是当前的
[48:28] git worktree
[48:29] 我们的git允许我们创建一个工作树
[48:33] 然后这个工作树就是一个
[48:35] 你可以想象成就是连接到了一个remote
[48:38] 就是一个git repo
[48:39] 然后我可以在这里面做独立的提交
[48:42] 在一个隔离的环境里面做独立的提交
[48:44] 然后大家都知道点git是什么
[48:46] .git是一个目录
[48:49] 点git
[48:50] 比如说我现在我的JS1
[49:03] 大家都知道我的.git的是一个目录
[49:05] 然后他有里面有一些
[49:06] 比如说啊这个logs
[49:10] 还有objects
[49:11] 三种类型的对象
[49:13] 那worktree里面的.git的是什么
[49:18] 点开就是一个普通的文件
[49:23] 是一个文本文件
[49:26] 然后你如果如果你继续追问agent的话
[49:30] agent会告诉你
[49:31] 这个也是我才知道的
[49:32] 就是除了git
[49:35] 除了点git
[49:36] 除了是可以是一个目录以外
[49:39] 它还可以是一个这样的
[49:41] 只有只有这个格式的文件
[49:44] 然后这个文件说gitdir:
[49:46] 然后好
[49:47] 你看它指向了一个worktrees
[49:49] 然后这个是什么
[49:50] 这就是文件系统里面的一个啊文件
[49:54] 所以你看到
[49:55] git
[49:56] 最大程度上
[50:03] git最大程度上复用了操作系统里面的机制
[50:07] 这个tree就是一个这样的
[50:10] 它是一个小型的git目录
[50:13] 他是个小型的点
[50:15] git它依然有是head index locks这些
[50:18] 一个微型的git的目录
[50:20] 但是它还是依附于原有的那个git目录
[50:24] 而而而生的这样一个一个一个特性
[50:28] 这个特性就在AI时代突然间变得诶好像
[50:34] 有点有用
[50:34] 我们可以在在这个提交
[50:37] 直接在本地互相可见
[50:39] 不需要互相的pull和push
[50:40] 就如果你像刚才我说的
[50:42] 我开了好几台虚拟机
[50:43] 然后在每台虚拟机里面放一个agent
[50:45] 然后我直接往那个tmux里面注入
[50:47] 那当然是可以的
[50:49] 这是完全可以完成的
[50:50] 但是worktree提供了一个更轻量的这个
[50:54] 合作的合作的方式
[50:55] 但是但是就是如果有比如说有冲突的修改
[50:59] 它仍然需要merge和REBASE才能才能合
[51:01] 才能合并
[51:02] 这样啊性能性
[51:04] 性能会更高一点好那我们回到这个agent team
[51:09] 如果我们有agent team或者agent
[51:11] Swarm
[51:12] 除了今天的workaround
[51:13] 比如说worktree这样的机制以外
[51:17] 还要回头来想
[51:18] 为什么我们需要版本控制
[51:20] 为什么需要版本管理
[51:23] 也就是说我们人类的限制
[51:25] 就是人类对这个
[51:27] 就我刚才说10分钟
[51:29] 一个小的team
[51:30] 哪怕是一个团队都要10分钟产生一个一个commit
[51:35] 所以是因为人的限制塑造了这个这个工具
[51:38] 人之间的这个communication
[51:42] 导致了你每天早上都要开一次会议
[51:45] 同步一下各各个人的进展
[51:47] 然后再把这个任务给分下去
[51:48] 而而且就算是人做了这样的沟通
[51:52] 你也都知道
[51:53] 你有的时候你想就你的你的室友
[51:57] 向你请教一个数学问题
[51:58] 明明你会做
[52:00] 你就怎么都没办法给他讲明白
[52:03] 你除非你是一个很好的老师
[52:04] 能够共情别人就共情
[52:07] 别人在哪里会能站站在别人的角度去思考
[52:11] 就是沟通的成本就是很高的
[52:13] 所以也是大厂和小厂对
[52:16] 尤其是初创初创公司
[52:17] 初创团队为什么效率可以更高
[52:19] 就是当软件系统大了以后
[52:21] 人多了以后
[52:21] 他沟通的效率变低了以后
[52:24] 它产出的速度也就也就降下来了
[52:27] 所以可能你一个100个人的团队
[52:30] 他不可能达到一个十人团队效率的十十倍
[52:34] 可能有两倍
[52:35] 三倍就已经就已经挺挺不错了
[52:37] 所以团队没有办法变大
[52:39] 没有办法变大
[52:40] 所以我们需要git的各种各样的best practice
[52:43] 快照
[52:45] 快照
[52:45] 然后小步的前进
[52:47] 你改一个title也要做一个commit
[52:49] 然后你做一个什么也要一个commit
[52:51] 一个commit
[52:51] 然后都可以
[52:52] 然后这些小的commit每个都可以追溯
[52:54] 因为一旦出问题了以后
[52:56] 你需要回溯到那个人做事commit那个时间
[53:00] 然后然后那个人是有记忆的
[53:02] 开发者会回想起来
[53:04] 那天我们当天早上开了一个会
[53:07] 然后我收到要做这个需求
[53:08] 然后呢做这个需求时候沟通发生了一个问题
[53:10] 大家找到那个时候的沟通记录文档
[53:12] 然后再说
[53:13] 我们这个地方应该应该怎么修正
[53:15] 所以你看有了git bisect的
[53:16] git blame这些
[53:18] 专门为人来这个设计的特性
[53:22] 但是你想一想
[53:24] 如果是由agent team或者agent swarm来实现你的项目
[53:28] 我们还需要git blame吗
[53:32] 就是因为人可以blame
[53:34] 就是你这个事情我blame你多了
[53:36] 你就该被开掉了
[53:38] 实习生你就背锅了
[53:41] 但如果agent没有坐牢的
[53:43] 被坐牢的
[53:44] 被开除的能力的时候
[53:48] 这个这个模型就变了
[53:50] 我们再也不需要blame了
[53:51] 我们的项目只要前进就可以了
[53:55] 然后我们前进
[53:56] 有的时候也不需要知道到底是哪一个
[53:58] 提交引入这个错误
[53:59] 我只要知道这个地方错了
[54:01] 我也不要再也不要管他
[54:02] 历史上是怎么造成这个错误的
[54:04] 我只要把这个错误修了就行了
[54:06] 因为agent之间的communication
[54:09] 而且尤其尤其现在更好玩的是
[54:11] 我们的每个agent都是相同的模型
[54:14] 这也就是说它们是完全相同的克隆体
[54:17] 同一个事情让他们来做
[54:19] 他们大概率会收敛到
[54:20] 就虽然模型还是有不确定性
[54:23] 还是会收敛到相同的结果
[54:25] 同样的prompt做同一件事
[54:27] 可能有点细微的差别
[54:28] 但是最终的那个方向性的东西
[54:30] 可能收敛到相同的结果
[54:32] 所以我们再也不要blame了
[54:34] 那我们的git永远就是一个
[54:36] 就或者说我们的项目
[54:37] 就永远就是一个向前进的过程
[54:39] 每次哈我现在在就快照肯定还是需要的
[54:42] 因为因比如说这个方向走错了
[54:44] 我们
[54:45] 你如果没有保留历史的上的某一个snapshot
[54:49] 那一下子往前走了好多以后再回去
[54:51] 可能他的代价比你一点一点在再往前修
[54:55] 要修要好
[54:55] 所以保留快照肯定还是还是需要的
[54:58] 那我们就是不断的大步向前
[55:00] 也永远几乎永远不要看过去
[55:03] git的这个committer里面只是留了一些lessons
[55:06] 或者我们大部
[55:07] 我们这个项目到底经历了什么样的
[55:09] 什么样的演化
[55:10] 然后不停的就往前走
[55:11] 往前走往前走
[55:12] 合并
[55:13] 合并合并合并
[55:14] 所以就说历史的价值可以从谁写错了
[55:18] 变成我怎么把它修好
[55:20] 只要保存
[55:21] 我只要能知道我从现在开始怎么样能够往前进
[55:24] 往前进这件事情就可以了
[55:26] 所以你再想再想
[55:28] 这个时候
[55:29] 你在计算机学科学到的那些知识又起作用了
[55:34] 我又回到讲操作系统的时候
[55:36] 讲并发
[55:36] 讲并发
[55:37] 那数据库就是就现在的这个git的模型
[55:43] 更像是数据库里面的并发控制
[55:46] 也就比如说我们有两条SQL
[55:50] 然后这个SQL它都是一个transaction
[55:54] 它是一个很大的SQL
[55:57] 都是一个很大的传
[55:58] 在坑中间可以混任何代码
[56:00] 然后你可以先比如说你先一个select select一个什么
[56:03] 你先读一下
[56:04] 那我这里也可以select select
[56:08] 然后那我先读完以后
[56:09] 我可以做代码的计算
[56:12] 比如说我就是Python代码或JAVASCRIPT代码
[56:15] 然后这个代码是图灵完备的
[56:16] 你永远不知道他会根据我看到的结果算出什么
[56:19] 我甚至也可以从外面
[56:20] 比如说根据我当前的时间再算一个什么东西
[56:22] 然后算完以后我再update
[56:27] Update
[56:28] 然后update的时候就会产生冲突
[56:30] 这也就是说这个就可能产生死锁
[56:32] 也可能产生冲突
[56:33] 就是说这个update可能可能
[56:36] 这个这个如果这个update读它
[56:38] 这个update要读它
[56:40] 那就会产生一个循环依赖
[56:43] 有可能是产生这种数据的依赖
[56:45] 也可能是产生就是我要锁你
[56:48] 我要锁你的对象
[56:49] 你要锁我对象产生死锁
[56:50] 然后这个时候就会导致这个transaction 的abort
[56:53] 可能比如说这个transaction SQL
[56:56] 说这个就不能进行下去了
[56:57] 对不起
[56:58] 因为我检测到一个循环的依赖
[57:00] 所以对不起我
[57:01] 我这个这个就不能做了
[57:03] 我要回滚
[57:04] 相当于他要roll back
[57:05] Roll back
[57:06] 然后其实git的模型有一点
[57:09] 像这种这种乐观的并发控制
[57:11] Of of of mist optimistic
[57:13] 为什么他是乐观的
[57:15] 他就说我假设这两个transaction不会冲突
[57:19] 我在执行的时候
[57:20] 我会假设厂家是不会冲突
[57:22] 这个假设在数据库系统当中是大概率是成立的
[57:25] 为什么
[57:26] 我们想教务系统
[57:28] 你们每一个同学他读的都是你读
[57:33] 写的都是你自己那块数据
[57:36] 你就说我选课选的是我的课
[57:38] 我查看课表
[57:39] 查看的是我的课表
[57:40] 那所以所以说这个一个全局的这个冲突
[57:44] 是不太可能有的
[57:45] 我两个同学哪怕同时开始选课
[57:47] 我也是读我的
[57:48] 写我的这两个就可以就过学知道
[57:51] 哦mistake的
[57:54] 那of of git也是这样
[57:56] 就说我假设这个我这样开发
[57:59] 我们已经事先开过会了
[58:00] 今天早上开过会了
[58:01] 所以我可以顺着这条路先做这个
[58:03] 另一个人做这个
[58:04] 然后我合并的时候大概率不会产生冲突
[58:06] 不管是merge也好
[58:07] 还是REBASE也好
[58:08] 这个都能都能顺利的顺利的完成
[58:12] 但是但是啊这就这是这是就古法编程时代的
[58:19] 就像我用SQL来做一个比方
[58:21] 但是如果我们agent的快了1000倍
[58:25] agent的快了1000倍
[58:26] 那如果我们的这个主 agent呢又没有
[58:32] 可能协调的时候就一下子又分了好多任务出去
[58:35] 他们就真的有可能会更频繁的触发这个
[58:40] transaction的abort
[58:41] 然后触发这种abort在AI时代也不是什么大问题
[58:46] 就是agent的
[58:47] 反正出错了
[58:47] 或者出了conflict
[58:49] 他就修
[58:49] 他能修好
[58:51] 但是不是在agent的时代
[58:53] 我们可以换一种并发控制的方式
[58:55] 你想我们在操作系统里面
[58:57] 这是在数据库里面做的
[58:59] 我们在操作系统里面学的并发控制
[59:01] 你们是用什么做并发控制
[59:03] 上锁锁和这个数据库里面的这个transaction
[59:08] 是有点不一样的
[59:10] 你是你是lock一个
[59:13] 我上课时经常说一把大锁保平安
[59:17] 做实验你们就知道做过实验
[59:19] 你们就知道了
[59:22] 当我想要访问资源可能冲突的资源的时候
[59:26] 我会先把它锁住
[59:29] 说我先要acquire了一把锁
[59:30] 然后这把锁一旦acquire时候
[59:32] 别人想要再lock的时候
[59:34] 那对不起
[59:35] 这个这个上锁的就必须要等到等到快以后
[59:39] 一个release的快啊的关系建立起来
[59:42] 就必须是先一后二
[59:45] 而不是这种optimistic的
[59:46] 大家先先往前跑跑了再说
[59:49] 我必须是我先要知道我
[59:51] 我必须在使用这个资源之前
[59:54] 我要declare
[59:57] 我要declare
[59:58] 对这个资源的使用上锁的方式
[60:02] 所以你看这是就是只有你在这个操作系统课
[60:05] 数据库
[60:06] 数据数据库课
